model,label,early_lo,early_hi,delta_lambda2_mean,frag_entropy_active,frag_entropy_passive,n_chars_active,n_chars_passive,n_pieces_active,n_pieces_passive,pieces_per_char_active,pieces_per_char_passive,pieces_diff,pieces_per_char_avg,frag_entropy_avg,d_pieces_per_char,d_frag_entropy,pieces_diff_abs
Qwen/Qwen2.5-7B,AR,2,5,-0.021400012075901,0.1867718922855385,0.1834371970274623,28,34,8,10,0.2857142755102044,0.2941176384083048,2,0.2899159569592546,0.1851045446565004,0.008403362898100397,-0.003334695258076198,2
Qwen/Qwen2.5-7B,DE,2,5,-0.0035493498047192,0.2179904793443064,0.207075554148,37,43,11,12,0.2972972892622354,0.279069760951866,1,0.2881835251070507,0.2125330167461532,-0.018227528310369445,-0.010914925196306408,1
Qwen/Qwen2.5-7B,EN,2,5,-0.0298373804738124,0.2986265782036758,0.2599301927089795,35,43,6,8,0.1714285665306124,0.186046507301244,2,0.1787375369159282,0.2792783854563276,0.01461794077063161,-0.038696385494696284,2
Qwen/Qwen2.5-7B,ES,2,5,-0.0131372610727946,0.2441360641474688,0.2179904793443064,31,45,9,11,0.290322571279917,0.2444444390123458,2,0.2673835051461314,0.2310632717458876,-0.0458781322675712,-0.026145584803162397,2
Qwen/Qwen2.5-7B,FI,2,5,0.0146919265389442,0.2302585092984045,0.1743753718009033,28,43,10,15,0.3571428443877555,0.3488372011898325,5,0.352990022788794,0.2023169405496538,-0.008305643197922985,-0.055883137497501206,5
Qwen/Qwen2.5-7B,FR,2,5,-0.0291648358106613,0.1974485099736396,0.1552553286598489,35,47,12,17,0.3428571330612248,0.3617021199637847,5,0.3522796265125048,0.1763519193167442,0.018844986902559924,-0.04219318131379071,5
Qwen/Qwen2.5-7B,HE,2,5,-0.0115987583994865,0.2496954424943939,0.2382693433166061,24,30,7,8,0.2916666545138894,0.266666657777778,1,0.2791666561458337,0.2439823929055,-0.02499999673611142,-0.011426099177787807,1
Qwen/Qwen2.5-7B,HI,2,5,-0.0433416316906611,0.1732867951393613,0.1867718922855385,20,25,8,8,0.399999980000001,0.3199999872000005,0,0.3599999836000007,0.1800293437124498,-0.07999999280000047,0.01348509714617721,0
Qwen/Qwen2.5-7B,ID,2,5,0.0445039620002111,0.1974485099736396,0.1891008715131602,36,41,12,13,0.3333333240740743,0.3170731629982155,1,0.3252032435361449,0.1932746907433999,-0.016260161075858814,-0.008347638460479395,1
Qwen/Qwen2.5-7B,IT,2,5,0.0050451159477233,0.2302585092984045,0.2179904793443064,38,47,10,11,0.2631578878116345,0.2340425482118606,1,0.2486002180117475,0.2241244943213554,-0.029115339599773915,-0.012268029954098092,1
Qwen/Qwen2.5-7B,JA,2,5,0.0045617471138636,0.2121713894309376,-3.333629668606137e-13,11,12,3,3,0.2727272479338866,0.2499999791666684,0,0.2613636135502775,0.1060856947153021,-0.022727268767218173,-0.21217138943127098,0
Qwen/Qwen2.5-7B,KO,2,5,-0.0173462281624476,0.2599301927092295,0.2601184015060678,13,17,4,6,0.3076922840236705,0.3529411557093437,2,0.3303167198665071,0.2600242971076486,0.04524887168567321,0.00018820879683828506,2
Qwen/Qwen2.5-7B,PL,2,5,0.0191766321659088,0.1974485099736396,0.1604124323812819,26,42,12,16,0.4615384437869829,0.3809523718820864,4,0.4212454078345347,0.1789304711774607,-0.08058607190489647,-0.03703607759235772,4
Qwen/Qwen2.5-7B,PT,2,5,-0.0153532574574152,0.2599301927089795,0.2441360641474688,30,41,8,9,0.266666657777778,0.2195121897679953,1,0.2430894237728866,0.2520331284282241,-0.04715446800978268,-0.01579412856151069,1
Qwen/Qwen2.5-7B,RU,2,5,-0.0032247826457023,0.1949476445318596,0.1492486101983201,29,37,8,11,0.2758620594530324,0.2972972892622354,3,0.2865796743576339,0.1720981273650898,0.021435229809203038,-0.0456990343335395,3
Qwen/Qwen2.5-7B,SW,2,5,0.0118760541081428,0.2441360641474688,0.207075554148,24,31,9,12,0.3749999843750006,0.387096761706556,3,0.3810483730407783,0.2256058091477344,0.012096777331555397,-0.037060509999468805,3
Qwen/Qwen2.5-7B,TR,2,5,-0.0300688693920771,0.1974485099736396,0.1814311645577129,29,40,12,14,0.4137930891795486,0.3499999912500002,2,0.3818965402147743,0.1894398372656762,-0.0637930979295484,-0.016017345415926698,2
Qwen/Qwen2.5-7B,VI,2,5,0.0268737251559893,0.1426752769658657,0.1319295690780527,29,34,17,19,0.5862068763376939,0.558823512975779,2,0.5725151946567364,0.1373024230219592,-0.027383363361914825,-0.01074570788781301,2
Qwen/Qwen2.5-7B,YO,2,5,-0.0538627405961354,0.1364372485639457,0.1109462716267365,27,39,16,21,0.5925925706447196,0.5384615246548328,5,0.5655270476497762,0.1236917600953411,-0.05413104598988683,-0.02549097693720921,5
Qwen/Qwen2.5-7B,ZH,2,5,-0.0218117410937944,-5.000444502909205e-13,0.2121713894309376,8,9,2,3,0.2499999687500039,0.3333332962963004,1,0.2916666325231521,0.1060856947152187,0.08333332754629647,0.21217138943143765,1
