id,lang,model,early_lo,early_hi,delta_lambda2_early,behavior_A,behavior_B,behavior_delta
en_001,en,llama-3.2-1b,2,5,-0.006386786699295044,-5.412424087524414,-4.049707412719727,1.3627166748046875
en_002,en,llama-3.2-1b,2,5,-0.0011814683675765991,-4.4334187507629395,-5.167657375335693,-0.7342386245727539
en_003,en,llama-3.2-1b,2,5,-0.022869408130645752,-5.793034076690674,-4.992509365081787,0.8005247116088867
en_004,en,llama-3.2-1b,2,5,0.002301320433616638,-3.9038238525390625,-4.995877265930176,-1.0920534133911133
fr_001,fr,llama-3.2-1b,2,5,0.004324004054069519,-5.028123378753662,-4.788496971130371,0.23962640762329102
fr_002,fr,llama-3.2-1b,2,5,-0.004324004054069519,-4.788496971130371,-5.028123378753662,-0.23962640762329102
fr_003,fr,llama-3.2-1b,2,5,-0.005775541067123413,-4.326103210449219,-3.4852006435394287,0.84090256690979
fr_004,fr,llama-3.2-1b,2,5,0.005775541067123413,-3.4852006435394287,-4.326103210449219,-0.84090256690979
de_003,de,llama-3.2-1b,2,5,0.021634921431541443,-4.31998348236084,-3.774073362350464,0.545910120010376
es_001,es,llama-3.2-1b,2,5,-0.0061798095703125,-4.7305803298950195,-5.230879783630371,-0.5002994537353516
es_002,es,llama-3.2-1b,2,5,-0.013927921652793884,-4.729102611541748,-4.320205211639404,0.40889739990234375
es_003,es,llama-3.2-1b,2,5,0.027361437678337097,-4.692959308624268,-6.502239227294922,-1.8092799186706543
es_004,es,llama-3.2-1b,2,5,-0.0002745687961578369,-4.509150981903076,-3.707883834838867,0.801267147064209
