id,lang,model,early_lo,early_hi,delta_lambda2_early,behavior_A,behavior_B,behavior_delta
en_001,en,phi-3-mini,2,5,-0.4521316885948181,-3.162017822265625,-2.6498284339904785,0.5121893882751465
en_002,en,phi-3-mini,2,5,0.41797396540641785,-3.398385763168335,-4.367299556732178,-0.9689137935638428
en_003,en,phi-3-mini,2,5,-0.4288373291492462,-3.3822479248046875,-3.1763875484466553,0.20586037635803223
en_004,en,phi-3-mini,2,5,0.4345395565032959,-2.6138100624084473,-3.9054083824157715,-1.2915983200073242
fr_001,fr,phi-3-mini,2,5,-0.008100122213363647,-4.484088897705078,-3.1446802616119385,1.3394086360931396
fr_002,fr,phi-3-mini,2,5,0.008100122213363647,-3.1446802616119385,-4.484088897705078,-1.3394086360931396
fr_003,fr,phi-3-mini,2,5,-0.006567239761352539,-2.824132204055786,-2.01859712600708,0.805535078048706
fr_004,fr,phi-3-mini,2,5,0.006567239761352539,-2.01859712600708,-2.824132204055786,-0.805535078048706
de_003,de,phi-3-mini,2,5,0.010520264506340027,-2.9697654247283936,-2.7358579635620117,0.23390746116638184
es_001,es,phi-3-mini,2,5,0.007345348596572876,-3.876708984375,-2.9478724002838135,0.9288365840911865
es_002,es,phi-3-mini,2,5,-0.004891917109489441,-3.3548781871795654,-2.4481523036956787,0.9067258834838867
es_003,es,phi-3-mini,2,5,0.003106847405433655,-2.3624396324157715,-3.7551674842834473,-1.3927278518676758
es_004,es,phi-3-mini,2,5,-0.0033607035875320435,-2.64847731590271,-2.308100938796997,0.3403763771057129
