id,lang,model,early_lo,early_hi,delta_lambda2_early,behavior_A,behavior_B,behavior_delta
en_001,en,qwen2.5-7b,2,5,-0.03323541767895222,-5.905418872833252,-4.396125793457031,1.5092930793762207
en_002,en,qwen2.5-7b,2,5,0.044692276045680046,-4.326010704040527,-6.462587833404541,-2.1365771293640137
en_003,en,qwen2.5-7b,2,5,-0.025138195604085922,-6.023326873779297,-4.353550910949707,1.6697759628295898
en_004,en,qwen2.5-7b,2,5,0.023969290778040886,-3.228369951248169,-4.132005214691162,-0.9036352634429932
fr_001,fr,qwen2.5-7b,2,5,0.0031798481941223145,-4.808255672454834,-4.073919773101807,0.7343358993530273
fr_002,fr,qwen2.5-7b,2,5,-0.0031798481941223145,-4.073919773101807,-4.808255672454834,-0.7343358993530273
fr_003,fr,qwen2.5-7b,2,5,-0.0036959052085876465,-2.554337978363037,-2.6187260150909424,-0.06438803672790527
fr_004,fr,qwen2.5-7b,2,5,0.0036959052085876465,-2.6187260150909424,-2.554337978363037,0.06438803672790527
de_003,de,qwen2.5-7b,2,5,-0.0003751516342163086,-3.562115430831909,-3.357982635498047,0.2041327953338623
es_001,es,qwen2.5-7b,2,5,0.012624606490135193,-4.34169340133667,-4.193650722503662,0.1480426788330078
es_002,es,qwen2.5-7b,2,5,0.008072644472122192,-4.198620319366455,-3.7358295917510986,0.46279072761535645
es_003,es,qwen2.5-7b,2,5,0.012014716863632202,-3.502185583114624,-4.97772741317749,-1.4755418300628662
es_004,es,qwen2.5-7b,2,5,0.014715388417243958,-3.5499391555786133,-3.0683538913726807,0.4815852642059326
