model,full_name,layer,energy,smoothness_index,spectral_entropy,hfer,fiedler_value
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,0,66.34322357177734,0.25996988731270604,1.3386353254318237,0.041166406124830246,0.5850911736488342
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,1,136.8240203857422,0.20317591067428062,1.2628650665283203,0.07410585880279541,0.14936959743499756
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,2,3845835.25,0.5626103855655434,1.2809618711471558,0.033663228154182434,0.23494410514831543
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,3,5180938.5,0.7576736758285189,0.6955491304397583,0.48653459548950195,0.9342405796051025
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,4,16779328.0,0.7609274326413937,0.6947782039642334,0.48579466342926025,0.9477243423461914
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,5,16713712.0,0.7575606435161137,0.694570779800415,0.48659560084342957,0.9179134368896484
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,6,16599414.0,0.7509394312491585,0.6970181465148926,0.4902017414569855,0.9135186672210693
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,7,20072184.0,0.7450988078379874,0.6969035863876343,0.491131991147995,0.8833624124526978
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,8,19817224.0,0.7355092363134735,0.7073763608932495,0.49279505014419556,0.8845343589782715
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,9,19566678.0,0.7260132294128245,0.7028619050979614,0.4994795322418213,0.8536372184753418
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,10,19542186.0,0.72529833743399,0.7071347236633301,0.49447447061538696,0.8814669847488403
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,11,19519744.0,0.7253204977666375,0.7058369517326355,0.49315086007118225,0.804375171661377
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,12,19483108.0,0.7244883206421839,0.7107928395271301,0.4909868836402893,0.8676574230194092
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,13,20059636.0,0.7254633429668127,0.6997420787811279,0.48762309551239014,0.8609441518783569
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,14,19795288.0,0.7173368610549405,0.7057353258132935,0.49177858233451843,0.8626904487609863
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,15,19628872.0,0.7120296616028763,0.7118381261825562,0.49142569303512573,0.8017457723617554
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,16,19603908.0,0.7111548521201612,0.7080058455467224,0.48785334825515747,0.8359469175338745
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,17,19498198.0,0.7073473994563297,0.7049108147621155,0.4903649687767029,0.8141430616378784
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,18,19338918.0,0.7011599879918727,0.7084231376647949,0.490987092256546,0.7723633050918579
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,19,19606672.0,0.7024444630743844,0.7084205150604248,0.4862520098686218,0.7880803346633911
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,20,19658124.0,0.7032612542197914,0.7116454839706421,0.47552061080932617,0.8556582927703857
