model,full_name,layer,energy,smoothness_index,spectral_entropy,hfer,fiedler_value
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,0,87.94883728027344,0.28115386243857,1.4589561223983765,0.025373093783855438,0.5836302638053894
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,1,380.1600646972656,0.30352701491392486,1.7182695865631104,0.0529017336666584,0.2104865312576294
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,2,4039927.0,0.5795064180061061,1.3345011472702026,0.11412842571735382,0.09639322757720947
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,3,5056761.0,0.7251115770316182,0.739944338798523,0.48103535175323486,0.0
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,4,16419146.0,0.7403631449159929,0.7740011215209961,0.4829442501068115,0.029478788375854492
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,5,16612931.0,0.7487286702932813,0.7355871200561523,0.48587432503700256,0.3340167999267578
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,6,16566392.0,0.7452986248157605,0.7143170833587646,0.49184808135032654,0.5474708080291748
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,7,20657112.0,0.766744272332192,0.7472979426383972,0.5021430850028992,0.699946403503418
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,8,20887410.0,0.7751530309903714,0.7039151787757874,0.5000573992729187,0.8867185711860657
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,9,20632790.0,0.7654658849458896,0.7040902972221375,0.5057141780853271,0.8182851076126099
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,10,20564988.0,0.7631185215596972,0.7085962295532227,0.5007765293121338,0.8569580316543579
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,11,20505304.0,0.7617593769127288,0.7068166136741638,0.49993911385536194,0.8248153924942017
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,12,20385578.0,0.7578384895497091,0.7102881669998169,0.5001471042633057,0.855520486831665
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,13,20932278.0,0.7567443419542428,0.7023158073425293,0.4970642626285553,0.831810712814331
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,14,20648488.0,0.7478991188777258,0.710491418838501,0.5013915300369263,0.8290760517120361
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,15,20349770.0,0.7377778734905837,0.7261771559715271,0.5046869516372681,0.7786576747894287
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,16,20469654.0,0.742080826910256,0.710936963558197,0.4967315196990967,0.8055925369262695
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,17,20331118.0,0.7369059769828313,0.7150744199752808,0.49874448776245117,0.77269446849823
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,18,20190736.0,0.7310983035371846,0.7162679433822632,0.4997018575668335,0.7893755435943604
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,19,20539340.0,0.7347901773927776,0.7136478424072266,0.49009695649147034,0.7753109931945801
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,20,20379372.0,0.7275160622504486,0.7306920886039734,0.48476582765579224,0.8157175779342651
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,21,20294368.0,0.722336669414206,0.7338805198669434,0.48415377736091614,0.7953654527664185
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,22,20324216.0,0.7199523513080754,0.7478915452957153,0.4798771142959595,0.753502607345581
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,23,20423970.0,0.7184754704853333,0.7547494769096375,0.47452348470687866,0.79349684715271
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,24,20546508.0,0.7164082370196145,0.7638466358184814,0.4762989580631256,0.7564401626586914
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,25,20838054.0,0.7218280971430258,0.7731845378875732,0.46934691071510315,0.7484915256500244
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,26,21033212.0,0.7208585920899307,0.7835949063301086,0.46951034665107727,0.7921524047851562
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,27,21050008.0,0.722512775599905,0.7983361482620239,0.46689218282699585,0.6761610507965088
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,28,20977142.0,0.7155059043077959,0.8125821352005005,0.4766402244567871,0.7318521738052368
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,29,2118969.0,0.5458576391981494,1.3127477169036865,0.33425411581993103,0.7520875930786133
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,30,2201006.75,0.49711028711362415,1.3693478107452393,0.316392183303833,0.6973304748535156
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,31,13089.826171875,0.19380159663581722,1.2996912002563477,0.15792100131511688,0.5413676500320435
llama-3.2-1b,meta-llama/Llama-3.2-1B,0,992.1632080078125,0.7334233290816959,0.8272486925125122,0.5171284079551697,0.7175619602203369
llama-3.2-1b,meta-llama/Llama-3.2-1B,1,140545.5,0.7947766713137332,0.699561595916748,0.5060743093490601,0.8933925628662109
llama-3.2-1b,meta-llama/Llama-3.2-1B,2,141758.09375,0.7996758818056271,0.7009872794151306,0.5015377998352051,0.9221067428588867
llama-3.2-1b,meta-llama/Llama-3.2-1B,3,138449.796875,0.7789489887353409,0.724305272102356,0.5144094228744507,0.843870997428894
llama-3.2-1b,meta-llama/Llama-3.2-1B,4,138181.65625,0.7742709493844049,0.7283906936645508,0.5193196535110474,0.8267645835876465
llama-3.2-1b,meta-llama/Llama-3.2-1B,5,139870.703125,0.7802874269013749,0.7178170680999756,0.5155549049377441,0.8517506122589111
llama-3.2-1b,meta-llama/Llama-3.2-1B,6,136110.6875,0.7555240277481325,0.7415885925292969,0.5301626324653625,0.7724348306655884
llama-3.2-1b,meta-llama/Llama-3.2-1B,7,141229.53125,0.7801360654366638,0.7128326892852783,0.5144712328910828,0.8578648567199707
llama-3.2-1b,meta-llama/Llama-3.2-1B,8,136146.65625,0.7491207484788699,0.7458728551864624,0.527675211429596,0.7593895196914673
llama-3.2-1b,meta-llama/Llama-3.2-1B,9,134498.109375,0.7363431153944923,0.7529290914535522,0.5287744998931885,0.6945160627365112
llama-3.2-1b,meta-llama/Llama-3.2-1B,10,140006.0,0.7646885380404723,0.7121027708053589,0.5057358741760254,0.7913552522659302
llama-3.2-1b,meta-llama/Llama-3.2-1B,11,138097.34375,0.7520213344551246,0.7204902768135071,0.5001091361045837,0.7933633327484131
llama-3.2-1b,meta-llama/Llama-3.2-1B,12,136719.046875,0.741648274535727,0.7258294820785522,0.48873287439346313,0.7731583118438721
llama-3.2-1b,meta-llama/Llama-3.2-1B,13,135149.375,0.7297717647150143,0.7324539422988892,0.47750964760780334,0.8067402839660645
llama-3.2-1b,meta-llama/Llama-3.2-1B,14,139367.53125,0.716876078837769,0.7423853874206543,0.47640642523765564,0.7670459747314453
llama-3.2-1b,meta-llama/Llama-3.2-1B,15,63597.5546875,0.6345917402613925,1.7500126361846924,0.31571486592292786,0.6371393203735352
qwen2.5-7b,Qwen/Qwen2.5-7B,0,1474.7833251953125,0.3618414274422194,1.5702153444290161,0.2020682394504547,0.3527143597602844
qwen2.5-7b,Qwen/Qwen2.5-7B,1,5340.7412109375,0.3916729905352528,1.3545610904693604,0.25729507207870483,0.5570071339607239
qwen2.5-7b,Qwen/Qwen2.5-7B,2,5904.42529296875,0.4185783474947184,1.3977108001708984,0.23174066841602325,0.5939610004425049
qwen2.5-7b,Qwen/Qwen2.5-7B,3,77932704.0,0.6125943840540635,1.414563775062561,0.009538021869957447,0.5096646547317505
qwen2.5-7b,Qwen/Qwen2.5-7B,4,147012160.0,0.76352482212278,0.7216975688934326,0.501886248588562,0.1265401840209961
qwen2.5-7b,Qwen/Qwen2.5-7B,5,152251104.0,0.7703472195124637,0.7034574151039124,0.4938395023345947,0.08464407920837402
qwen2.5-7b,Qwen/Qwen2.5-7B,6,165965184.0,0.819706026130835,0.7245493531227112,0.5259543061256409,0.23870815336704254
qwen2.5-7b,Qwen/Qwen2.5-7B,7,146366752.0,0.7125122517635374,0.7370003461837769,0.5252917408943176,0.10788846015930176
qwen2.5-7b,Qwen/Qwen2.5-7B,8,155295008.0,0.7484728157502019,0.7035847902297974,0.5056982040405273,0.09619712829589844
qwen2.5-7b,Qwen/Qwen2.5-7B,9,149237200.0,0.6987931759646299,0.8280730247497559,0.516627848148346,0.10031747817993164
qwen2.5-7b,Qwen/Qwen2.5-7B,10,151529312.0,0.7043418556683243,0.7306252121925354,0.5262616276741028,0.10059988498687744
qwen2.5-7b,Qwen/Qwen2.5-7B,11,160324672.0,0.7174189250742922,0.7188091278076172,0.5070114731788635,0.09025144577026367
qwen2.5-7b,Qwen/Qwen2.5-7B,12,163016608.0,0.713888940077345,0.7130303382873535,0.511758029460907,0.0583040714263916
qwen2.5-7b,Qwen/Qwen2.5-7B,13,158891760.0,0.6906481409552341,0.7214280366897583,0.5299909114837646,0.07605350017547607
qwen2.5-7b,Qwen/Qwen2.5-7B,14,167161296.0,0.7247609296014418,0.7089009284973145,0.501556396484375,0.0608820915222168
qwen2.5-7b,Qwen/Qwen2.5-7B,15,162941760.0,0.7035442982007699,0.7327396869659424,0.5131440162658691,0.10306739807128906
qwen2.5-7b,Qwen/Qwen2.5-7B,16,167712464.0,0.7232750538004197,0.7107314467430115,0.5008158087730408,0.06777477264404297
qwen2.5-7b,Qwen/Qwen2.5-7B,17,166996352.0,0.7205800998457597,0.7079250812530518,0.5037223696708679,0.06382536888122559
qwen2.5-7b,Qwen/Qwen2.5-7B,18,159148416.0,0.687867077879413,0.7168383598327637,0.5261799693107605,0.06808269023895264
qwen2.5-7b,Qwen/Qwen2.5-7B,19,162308000.0,0.7023823635470321,0.724397599697113,0.5188115835189819,0.09537601470947266
qwen2.5-7b,Qwen/Qwen2.5-7B,20,161025312.0,0.7048004686492754,0.7105546593666077,0.5099576115608215,0.0736701488494873
qwen2.5-7b,Qwen/Qwen2.5-7B,21,159578272.0,0.7000352767554818,0.7283607721328735,0.5120596289634705,0.09250926971435547
qwen2.5-7b,Qwen/Qwen2.5-7B,22,165765840.0,0.7304113537457785,0.7089881896972656,0.4866071343421936,0.06918168067932129
qwen2.5-7b,Qwen/Qwen2.5-7B,23,163553968.0,0.7262935714058351,0.7173705697059631,0.5026260018348694,0.10698318481445312
qwen2.5-7b,Qwen/Qwen2.5-7B,24,166271408.0,0.749910843134575,0.7113174796104431,0.49162647128105164,0.14148759841918945
qwen2.5-7b,Qwen/Qwen2.5-7B,25,148258944.0,0.7029678979310273,0.7208764553070068,0.48819953203201294,0.08275461196899414
qwen2.5-7b,Qwen/Qwen2.5-7B,26,7488814.0,0.4579944055899578,0.901155412197113,0.34491458535194397,0.10945558547973633
qwen2.5-7b,Qwen/Qwen2.5-7B,27,267430.6875,0.24550455310951286,1.6244865655899048,0.14055368304252625,0.062496185302734375
