model,full_name,layer,energy,smoothness_index,spectral_entropy,hfer,fiedler_value
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,0,49.50843048095703,0.2265883010712679,1.1552761793136597,0.05760698765516281,0.5961999893188477
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,1,123.77656555175781,0.203744034980448,1.2010694742202759,0.0982380211353302,0.2604653835296631
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,2,3701513.5,0.5415070635948462,0.7906435132026672,0.5703330636024475,0.47062480449676514
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,3,4743410.0,0.6937108112131884,0.6964424252510071,0.47616538405418396,0.9439208507537842
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,4,15380207.0,0.697486271541628,0.6933890581130981,0.4749898612499237,0.9396206140518188
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,5,15303542.0,0.693651565635299,0.6940290927886963,0.4760209023952484,0.9497829675674438
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,6,15231508.0,0.6890797954119701,0.6948124170303345,0.4784236252307892,0.9216891527175903
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,7,18370622.0,0.6819624261448933,0.6988128423690796,0.47978675365448,0.8788799047470093
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,8,18351102.0,0.6811505088167132,0.6964190006256104,0.47739580273628235,0.8927130699157715
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,9,17849792.0,0.6623704976371466,0.7135266065597534,0.4857461452484131,0.8312942981719971
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,10,17965128.0,0.6668897907231967,0.6985024809837341,0.4823974668979645,0.8591036796569824
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,11,17823312.0,0.6623988654346306,0.7045760750770569,0.4828411936759949,0.8199208974838257
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,12,17800580.0,0.6621040505015684,0.7019357681274414,0.4827985465526581,0.8542819023132324
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,13,18558100.0,0.6714062574957557,0.6975952386856079,0.47271928191185,0.8832941055297852
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,14,18182582.0,0.6591877248687377,0.7067579030990601,0.4795563220977783,0.8621474504470825
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,15,18019252.0,0.6540392885586502,0.7137829661369324,0.48022210597991943,0.8579856157302856
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,16,18086332.0,0.6566392393086964,0.7037292718887329,0.47608259320259094,0.8418841361999512
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,17,18012338.0,0.6541643907654582,0.7098138332366943,0.47583192586898804,0.82923424243927
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,18,17799928.0,0.6464265576927505,0.7108301520347595,0.4803667962551117,0.804739236831665
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,19,18097780.0,0.6496858401586835,0.7099506855010986,0.47647130489349365,0.81927490234375
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,20,18252298.0,0.6549661498695399,0.7069436311721802,0.4704592823982239,0.8856662511825562
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,21,18200054.0,0.6527494910541665,0.7088805437088013,0.4707891643047333,0.8463324308395386
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,22,18265372.0,0.6545636906706451,0.7180696129798889,0.4667879045009613,0.8013792037963867
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,23,18297226.0,0.6542812824798889,0.7178789377212524,0.46631288528442383,0.8182756900787354
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,24,18049232.0,0.6438983098252289,0.7285176515579224,0.47330236434936523,0.7732563018798828
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,25,18146572.0,0.6475787434998825,0.7428792715072632,0.4690030813217163,0.7124916315078735
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,26,18184394.0,0.6463110350668742,0.7397763729095459,0.47280097007751465,0.7643758058547974
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,27,18007180.0,0.6450466841915672,0.762223482131958,0.4702003300189972,0.7454187870025635
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,28,17829492.0,0.6405570152224827,0.7669385075569153,0.4776777923107147,0.6935478448867798
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,29,1214179.25,0.5427210739463395,1.1669325828552246,0.3524617850780487,0.7100334167480469
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,30,1185885.25,0.49700292069857044,1.2005864381790161,0.32985925674438477,0.6904804706573486
