model,full_name,layer,energy,smoothness_index,spectral_entropy,hfer,fiedler_value
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,0,49.81205749511719,0.22566765344789066,1.152123212814331,0.04597172141075134,0.5941624045372009
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,1,122.52334594726562,0.2016197596800555,1.1999237537384033,0.09718574583530426,0.2597123384475708
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,2,3668524.0,0.5366805635569876,0.833664059638977,0.5639647841453552,0.4696125388145447
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,3,4738526.0,0.6929965901712899,0.6974471807479858,0.4763408601284027,0.9417229890823364
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,4,15402134.0,0.6984821727150621,0.6925169229507446,0.47442004084587097,0.9389312267303467
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,5,15305872.0,0.6937605089323886,0.6939551830291748,0.4759920537471771,0.9505164623260498
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,6,15219963.0,0.6885588654114778,0.6947875022888184,0.4786839783191681,0.9227999448776245
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,7,18351244.0,0.6812453940167619,0.6984425783157349,0.4800732731819153,0.8861966133117676
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,8,18314592.0,0.679798874526413,0.6976256370544434,0.4780963361263275,0.8950585126876831
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,9,17834608.0,0.6618125996451553,0.7135939598083496,0.4859849214553833,0.845923900604248
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,10,17927876.0,0.6655050192744624,0.6996119618415833,0.4829302430152893,0.866407036781311
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,11,17770644.0,0.6604369072217515,0.7105141878128052,0.4828067421913147,0.83794105052948
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,12,17817708.0,0.6627299954026956,0.7029138803482056,0.48144441843032837,0.857200026512146
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,13,18504452.0,0.6694537703247915,0.6993235349655151,0.47353240847587585,0.8821914196014404
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,14,18065044.0,0.6548932387050859,0.7122689485549927,0.48040106892585754,0.8421691656112671
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,15,17933494.0,0.6508893706556246,0.7163386940956116,0.480996310710907,0.8467271327972412
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,16,18031164.0,0.6545940642497599,0.7055925726890564,0.4765569269657135,0.8476240634918213
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,17,18027986.0,0.6547167095106718,0.70896977186203,0.4749169647693634,0.8461521863937378
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,18,17829444.0,0.647461928196666,0.7105997204780579,0.47874125838279724,0.8232481479644775
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,19,18079066.0,0.6489853300917808,0.7126957178115845,0.475825697183609,0.7932213544845581
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,20,18269448.0,0.6555769502657912,0.7056238055229187,0.46941593289375305,0.8683463335037231
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,21,18284808.0,0.6558280248426032,0.7077836394309998,0.4684922397136688,0.8472932577133179
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,22,18294340.0,0.6556928269168695,0.7198211550712585,0.465516060590744,0.7407054901123047
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,23,18349456.0,0.6563055305484409,0.7166104316711426,0.4656878411769867,0.8236182928085327
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,24,18133858.0,0.6471614286769631,0.7267501950263977,0.47151243686676025,0.7401912212371826
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,25,18170040.0,0.6489868790643294,0.740252673625946,0.47012338042259216,0.7018883228302002
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,26,18220244.0,0.6484547054403695,0.7389824390411377,0.4726824164390564,0.749355673789978
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,27,18024720.0,0.6468834840849477,0.7621460556983948,0.4707415699958801,0.7207959890365601
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,28,17887088.0,0.6442008879822749,0.7629889249801636,0.4784930944442749,0.7248917818069458
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,29,1189795.875,0.5508149119140989,1.1673470735549927,0.35410842299461365,0.7328529357910156
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,30,1135988.5,0.5016022955602228,1.2057832479476929,0.33122000098228455,0.6553964614868164
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,31,6644.935546875,0.19009801577013508,1.1130268573760986,0.13623061776161194,0.5921212434768677
llama-3.2-1b,meta-llama/Llama-3.2-1B,0,862.1090698242188,0.642345338051362,0.7791191935539246,0.4901767373085022,0.828182578086853
llama-3.2-1b,meta-llama/Llama-3.2-1B,1,121503.4453125,0.6871795948088306,0.6979042291641235,0.4870319366455078,0.9205244779586792
llama-3.2-1b,meta-llama/Llama-3.2-1B,2,123144.1875,0.6948193945010617,0.6978394985198975,0.4816577732563019,0.9395977258682251
llama-3.2-1b,meta-llama/Llama-3.2-1B,3,117410.890625,0.6607768631363958,0.7351700067520142,0.49792277812957764,0.8876031637191772
llama-3.2-1b,meta-llama/Llama-3.2-1B,4,118047.8203125,0.6617456860307699,0.7197555899620056,0.5020002722740173,0.8911473751068115
llama-3.2-1b,meta-llama/Llama-3.2-1B,5,120099.875,0.6703145172289777,0.7093727588653564,0.49793875217437744,0.9042572975158691
llama-3.2-1b,meta-llama/Llama-3.2-1B,6,116441.1640625,0.6467019067039494,0.7457624673843384,0.5056225657463074,0.8306970596313477
llama-3.2-1b,meta-llama/Llama-3.2-1B,7,119690.40625,0.661540685664226,0.711959719657898,0.5018033981323242,0.909937858581543
llama-3.2-1b,meta-llama/Llama-3.2-1B,8,117268.9296875,0.645738350236202,0.7301244735717773,0.5051279664039612,0.8175268173217773
llama-3.2-1b,meta-llama/Llama-3.2-1B,9,114476.75,0.6274239256694195,0.7532742023468018,0.5068978071212769,0.7845308780670166
llama-3.2-1b,meta-llama/Llama-3.2-1B,10,118844.3203125,0.6499644854136398,0.713621973991394,0.49481552839279175,0.829598069190979
llama-3.2-1b,meta-llama/Llama-3.2-1B,11,119909.4609375,0.654496923332779,0.7078534960746765,0.48410025238990784,0.8369803428649902
llama-3.2-1b,meta-llama/Llama-3.2-1B,12,117449.6875,0.6391721895413165,0.7153435945510864,0.480769544839859,0.796082615852356
llama-3.2-1b,meta-llama/Llama-3.2-1B,13,118186.203125,0.6413771852237761,0.7140247225761414,0.46718791127204895,0.8159991502761841
llama-3.2-1b,meta-llama/Llama-3.2-1B,14,120731.53125,0.6251470873786408,0.7171357870101929,0.4695456922054291,0.7711474895477295
llama-3.2-1b,meta-llama/Llama-3.2-1B,15,35933.6328125,0.600645332277825,1.3579127788543701,0.36937251687049866,0.6242371797561646
qwen2.5-7b,Qwen/Qwen2.5-7B,0,1093.495849609375,0.3411245866330337,1.16148841381073,0.2864610552787781,0.45116037130355835
qwen2.5-7b,Qwen/Qwen2.5-7B,1,3760.645751953125,0.33027798352187077,1.0110149383544922,0.30777403712272644,0.6218443512916565
qwen2.5-7b,Qwen/Qwen2.5-7B,2,4735.12548828125,0.4118697980798765,1.1276750564575195,0.2946507930755615,0.6778257489204407
qwen2.5-7b,Qwen/Qwen2.5-7B,3,68400936.0,0.571324321678588,1.2901118993759155,0.10470970720052719,0.6300795674324036
qwen2.5-7b,Qwen/Qwen2.5-7B,4,109494832.0,0.5965229493155363,0.7214228510856628,0.46745190024375916,0.09235478192567825
qwen2.5-7b,Qwen/Qwen2.5-7B,5,114177256.0,0.6053075540974951,0.6970524191856384,0.4582076072692871,0.06681892275810242
qwen2.5-7b,Qwen/Qwen2.5-7B,6,133771536.0,0.6919197528371229,0.7710745334625244,0.5044042468070984,0.22532641887664795
qwen2.5-7b,Qwen/Qwen2.5-7B,7,107860544.0,0.5497116194567372,0.7328212857246399,0.4754546284675598,0.07491886615753174
