model,full_name,layer,energy,smoothness_index,spectral_entropy,hfer,fiedler_value
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,0,62.8255729675293,0.2678230544070852,1.323967695236206,0.06332772970199585,0.5290555953979492
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,1,119.74578094482422,0.18857034171158943,1.2644585371017456,0.049730103462934494,0.16594934463500977
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,2,2624806.5,0.38869207690895197,1.2793545722961426,0.00034064482315443456,0.3357933759689331
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,3,4690648.0,0.6943710570464707,0.6970022320747375,0.47626885771751404,0.9536590576171875
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,4,15198020.0,0.6977089669577992,0.6945376396179199,0.4749203324317932,0.9351236820220947
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,5,15094569.0,0.6925993769685388,0.6943121552467346,0.4766768217086792,0.9462363719940186
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,6,14860300.0,0.680561628786498,0.7023674249649048,0.48359495401382446,0.9329569339752197
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,7,18158548.0,0.6832596650781616,0.6969947218894958,0.47963589429855347,0.9242604970932007
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,8,17836622.0,0.6710791453738653,0.7127736806869507,0.48279836773872375,0.9048532247543335
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,9,17557264.0,0.6603992683020039,0.7065841555595398,0.489889919757843,0.9051058292388916
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,10,17657410.0,0.6643858759289973,0.6997427940368652,0.4839473366737366,0.9054012298583984
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,11,17492232.0,0.6589418946927478,0.698859453201294,0.48660242557525635,0.8585898876190186
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,12,17456968.0,0.6581003262346934,0.7105058431625366,0.48262161016464233,0.9123325347900391
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,13,18076752.0,0.6626973931956317,0.6991735696792603,0.4783797860145569,0.9215158224105835
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,14,17653648.0,0.6484959289116152,0.7086392641067505,0.48693153262138367,0.9443492889404297
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,15,17325470.0,0.6371346026450978,0.7047704458236694,0.4940815567970276,0.8978759050369263
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,16,17463328.0,0.6423408353959604,0.7054836750030518,0.4852287173271179,0.9038921594619751
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,17,17378180.0,0.6392285549832385,0.7223014831542969,0.4837305247783661,0.9445146322250366
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,18,17066598.0,0.6274357687620287,0.7061178684234619,0.49414923787117004,0.9028447866439819
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,19,17590042.0,0.6390670994146973,0.7150428295135498,0.4784698486328125,0.8789416551589966
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,20,17584970.0,0.6381560716489546,0.7152079939842224,0.474674254655838,0.8898992538452148
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,21,17433042.0,0.6316395087332566,0.7140394449234009,0.4761864244937897,0.8592458963394165
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,22,17439096.0,0.6302010452773054,0.725946843624115,0.4726925492286682,0.8464213609695435
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,23,17593532.0,0.6333246027198909,0.7291524410247803,0.46543022990226746,0.838935136795044
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,24,17443876.0,0.6247450360280317,0.7351693511009216,0.4725477993488312,0.7999227046966553
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,25,18000920.0,0.6427298684442048,0.7365925312042236,0.4585600793361664,0.8578513860702515
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,26,17970412.0,0.6378305710969213,0.7429723739624023,0.4631368815898895,0.8545932769775391
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,27,17930256.0,0.640392038622696,0.7500838041305542,0.4628314971923828,0.8586711883544922
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,28,17819110.0,0.6352661480991296,0.7686063647270203,0.4659583568572998,0.7257390022277832
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,29,1494700.25,0.5211904668920149,1.1085450649261475,0.35214731097221375,0.7169008255004883
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,30,1681251.25,0.5143395464484594,1.096300482749939,0.34912484884262085,0.7709801197052002
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,31,17468.82421875,0.4159402469774238,0.9895902872085571,0.35708901286125183,0.5928138494491577
llama-3.2-1b,meta-llama/Llama-3.2-1B,0,929.9783935546875,0.6913226938995518,0.7582609057426453,0.49958884716033936,0.8196136951446533
llama-3.2-1b,meta-llama/Llama-3.2-1B,1,128481.4296875,0.7266034596413468,0.7036694288253784,0.4913650453090668,0.903610348701477
llama-3.2-1b,meta-llama/Llama-3.2-1B,2,129644.359375,0.7314318240460388,0.7033795714378357,0.4877624213695526,0.9257434606552124
llama-3.2-1b,meta-llama/Llama-3.2-1B,3,126055.8125,0.7093353769278276,0.7254130244255066,0.4983712136745453,0.8811696767807007
llama-3.2-1b,meta-llama/Llama-3.2-1B,4,125878.3125,0.7055315952222335,0.7260458469390869,0.502901554107666,0.849990963935852
llama-3.2-1b,meta-llama/Llama-3.2-1B,5,128027.34375,0.714466024115926,0.7149629592895508,0.4984390437602997,0.9028507471084595
llama-3.2-1b,meta-llama/Llama-3.2-1B,6,123480.703125,0.6856916546510157,0.7635436058044434,0.5063140392303467,0.8054413795471191
llama-3.2-1b,meta-llama/Llama-3.2-1B,7,128041.3515625,0.7075847463188464,0.72074294090271,0.501861572265625,0.8902031183242798
llama-3.2-1b,meta-llama/Llama-3.2-1B,8,122604.328125,0.6750166459918,0.7818872928619385,0.5054906010627747,0.7577234506607056
llama-3.2-1b,meta-llama/Llama-3.2-1B,9,122577.21875,0.6716642739431035,0.7641025185585022,0.510761022567749,0.7556962966918945
llama-3.2-1b,meta-llama/Llama-3.2-1B,10,127549.6328125,0.6974278259398583,0.7248708009719849,0.4996408224105835,0.815824031829834
llama-3.2-1b,meta-llama/Llama-3.2-1B,11,128193.125,0.6993930278246302,0.7261090278625488,0.48875853419303894,0.8431552648544312
llama-3.2-1b,meta-llama/Llama-3.2-1B,12,127117.390625,0.6913796722548604,0.7265039682388306,0.48644551634788513,0.8068726062774658
llama-3.2-1b,meta-llama/Llama-3.2-1B,13,127402.9921875,0.6905856890623218,0.7243623733520508,0.47763383388519287,0.8179665803909302
llama-3.2-1b,meta-llama/Llama-3.2-1B,14,130356.3671875,0.6740315652476074,0.7370154857635498,0.4761606454849243,0.7853833436965942
llama-3.2-1b,meta-llama/Llama-3.2-1B,15,45567.609375,0.6318371204283878,1.6899607181549072,0.27941378951072693,0.6586912870407104
qwen2.5-7b,Qwen/Qwen2.5-7B,0,716.8797607421875,0.3419744294194444,1.4576425552368164,0.13376446068286896,0.4096412658691406
qwen2.5-7b,Qwen/Qwen2.5-7B,1,2789.060546875,0.3906343435669755,1.393640398979187,0.042857576161623,0.53326416015625
qwen2.5-7b,Qwen/Qwen2.5-7B,2,3764.052734375,0.49922442828137553,1.471780776977539,0.20691943168640137,0.6083176732063293
qwen2.5-7b,Qwen/Qwen2.5-7B,3,49119336.0,0.500632076925523,1.3541624546051025,0.37438663840293884,0.5471841096878052
qwen2.5-7b,Qwen/Qwen2.5-7B,4,104898080.0,0.6756853829661609,0.6959065198898315,0.49197614192962646,0.9442788362503052
qwen2.5-7b,Qwen/Qwen2.5-7B,5,110647296.0,0.6909297052607306,0.6932680606842041,0.47903987765312195,0.9732749462127686
qwen2.5-7b,Qwen/Qwen2.5-7B,6,108660880.0,0.6600833975146755,0.7043668627738953,0.49882617592811584,0.9292762279510498
qwen2.5-7b,Qwen/Qwen2.5-7B,7,107443016.0,0.6423667685974787,0.7154891490936279,0.5091544985771179,0.8348268270492554
qwen2.5-7b,Qwen/Qwen2.5-7B,8,112375872.0,0.6645800522997231,0.6993427276611328,0.4948374927043915,0.9179700613021851
qwen2.5-7b,Qwen/Qwen2.5-7B,9,111900784.0,0.6412521849411982,0.7252775430679321,0.5105677843093872,0.8117009401321411
qwen2.5-7b,Qwen/Qwen2.5-7B,10,114264824.0,0.6495819611166853,0.6973996162414551,0.5053252577781677,0.8422043323516846
qwen2.5-7b,Qwen/Qwen2.5-7B,11,121766224.0,0.6638112611525059,0.6977807283401489,0.4954582154750824,0.9351013898849487
qwen2.5-7b,Qwen/Qwen2.5-7B,12,124558328.0,0.6632680220690168,0.7024493217468262,0.4948326647281647,0.8838427066802979
qwen2.5-7b,Qwen/Qwen2.5-7B,13,123151672.0,0.6503749023737945,0.7163885831832886,0.5040405988693237,0.9221866130828857
qwen2.5-7b,Qwen/Qwen2.5-7B,14,129283048.0,0.6809055003816942,0.6944032907485962,0.48317983746528625,0.945702314376831
qwen2.5-7b,Qwen/Qwen2.5-7B,15,124545416.0,0.6529977574848933,0.7081364393234253,0.5003315210342407,0.9260864853858948
qwen2.5-7b,Qwen/Qwen2.5-7B,16,127079792.0,0.6653929582250663,0.7051840424537659,0.49268749356269836,0.9401082992553711
qwen2.5-7b,Qwen/Qwen2.5-7B,17,126190640.0,0.6611598479927919,0.7044727802276611,0.49494120478630066,0.936943531036377
qwen2.5-7b,Qwen/Qwen2.5-7B,18,117039408.0,0.6143000194326376,0.7059277296066284,0.5247399806976318,0.7400795817375183
qwen2.5-7b,Qwen/Qwen2.5-7B,19,117534608.0,0.6178029435891967,0.7158530354499817,0.5221689343452454,0.8307234048843384
qwen2.5-7b,Qwen/Qwen2.5-7B,20,117979520.0,0.6278384287469984,0.7249209880828857,0.5078218579292297,0.8682168126106262
qwen2.5-7b,Qwen/Qwen2.5-7B,21,117900256.0,0.6290929692167497,0.7193309664726257,0.5066962838172913,0.8286834955215454
qwen2.5-7b,Qwen/Qwen2.5-7B,22,123529968.0,0.6623545886530828,0.6998807191848755,0.4734642803668976,0.9253444671630859
qwen2.5-7b,Qwen/Qwen2.5-7B,23,119581096.0,0.6469346937584867,0.7059576511383057,0.47911468148231506,0.8477678298950195
qwen2.5-7b,Qwen/Qwen2.5-7B,24,115528648.0,0.6366568477193785,0.7060632705688477,0.47849300503730774,0.801098108291626
qwen2.5-7b,Qwen/Qwen2.5-7B,25,109754944.0,0.630700146189421,0.7137813568115234,0.4714800715446472,0.8342241048812866
qwen2.5-7b,Qwen/Qwen2.5-7B,26,6119747.0,0.43990656630823344,0.7631659507751465,0.35494551062583923,0.8057619333267212
qwen2.5-7b,Qwen/Qwen2.5-7B,27,345331.25,0.5250180563147976,1.4517600536346436,0.31363898515701294,0.6023949384689331
