model,full_name,layer,energy,smoothness_index,spectral_entropy,hfer,fiedler_value
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,0,71.70431518554688,0.2621284238024752,1.319333791732788,0.034539029002189636,0.5793060660362244
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,1,294.01788330078125,0.2724571195223675,1.591732144355774,0.054745618253946304,0.24278664588928223
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,2,3677405.75,0.5279093178562098,1.2898988723754883,0.14395259320735931,0.142722487449646
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,3,4712474.0,0.6762738989697906,0.7322378754615784,0.4713366627693176,0.09893631935119629
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,4,15421107.0,0.6955415200361115,0.7510498762130737,0.4744880497455597,0.11851263046264648
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,5,15585184.0,0.7025960629298644,0.7270204424858093,0.4780571758747101,0.38815879821777344
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,6,15454738.0,0.695474671422585,0.7125733494758606,0.4872341752052307,0.5747723579406738
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,7,19617648.0,0.7282033951858277,0.7344459295272827,0.49581673741340637,0.70157790184021
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,8,19836554.0,0.7362028359570187,0.6999009847640991,0.4943692982196808,0.8958059549331665
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,9,19588640.0,0.7267956512415007,0.697860598564148,0.4995984733104706,0.7906805276870728
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,10,19557306.0,0.7258394658392046,0.6986391544342041,0.4962838590145111,0.8677383661270142
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,11,19529942.0,0.7256468047666182,0.6987959146499634,0.49409839510917664,0.828356146812439
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,12,19337850.0,0.7189619295960605,0.7022799849510193,0.4953974485397339,0.8726561069488525
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,13,19907832.0,0.7198364712123728,0.7006049156188965,0.49060553312301636,0.8385202884674072
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,14,19539432.0,0.7078437965758637,0.7007436752319336,0.4991455674171448,0.8772276639938354
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,15,19422608.0,0.7043520062850805,0.7047170400619507,0.49763476848602295,0.818273663520813
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,16,19352328.0,0.7018046576236264,0.7031099200248718,0.4952426254749298,0.844234824180603
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,17,19491654.0,0.7068784351322352,0.7037385106086731,0.486197829246521,0.8377748727798462
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,18,19284958.0,0.6988716559362363,0.704189658164978,0.49018654227256775,0.8176507949829102
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,19,19553244.0,0.700154946692494,0.706916093826294,0.48539093136787415,0.827222466468811
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,20,19467134.0,0.6959389434055779,0.7168205976486206,0.4797474443912506,0.8287262916564941
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,21,19361536.0,0.6905625633931438,0.7170674800872803,0.48145729303359985,0.8051273822784424
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,22,19332844.0,0.687201526308482,0.7219576835632324,0.48001164197921753,0.7889569997787476
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,23,19474752.0,0.6887619845227287,0.7281891107559204,0.4715037941932678,0.7975935935974121
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,24,19514692.0,0.6853812114289183,0.7367833256721497,0.4724149703979492,0.7827739715576172
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,25,19749920.0,0.6894940029139706,0.7453826665878296,0.46922385692596436,0.7723069190979004
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,26,19913642.0,0.6892265931478417,0.7511329650878906,0.46892207860946655,0.8027102947235107
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,27,19865252.0,0.6898490032928282,0.7604812383651733,0.4682900011539459,0.7294216156005859
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,28,19673524.0,0.6803569951410393,0.7676184177398682,0.480190247297287,0.7554922103881836
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,29,1868798.25,0.5459252207653638,1.1040410995483398,0.361910879611969,0.7920960187911987
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,30,1997135.75,0.5129516957301343,1.1120617389678955,0.35466620326042175,0.7186977863311768
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,31,10117.3037109375,0.17214493918966792,0.881704568862915,0.20732775330543518,0.5798481702804565
llama-3.2-1b,meta-llama/Llama-3.2-1B,0,960.0255737304688,0.7118833151180476,0.8156473636627197,0.5202623605728149,0.7364486455917358
llama-3.2-1b,meta-llama/Llama-3.2-1B,1,136756.078125,0.773377366993311,0.7015846967697144,0.5048797130584717,0.8996025323867798
llama-3.2-1b,meta-llama/Llama-3.2-1B,2,138999.734375,0.7841651058554397,0.6980094909667969,0.49624496698379517,0.9484047889709473
llama-3.2-1b,meta-llama/Llama-3.2-1B,3,135047.484375,0.7598813806163864,0.7262764573097229,0.5118768215179443,0.8382314443588257
llama-3.2-1b,meta-llama/Llama-3.2-1B,4,135050.75,0.7568255951895189,0.7094553709030151,0.5178425312042236,0.8514719009399414
llama-3.2-1b,meta-llama/Llama-3.2-1B,5,137130.34375,0.7651264824401771,0.7033503651618958,0.5119422674179077,0.8805114030838013
llama-3.2-1b,meta-llama/Llama-3.2-1B,6,134819.390625,0.7484870975851334,0.7100597620010376,0.5227166414260864,0.8154416084289551
llama-3.2-1b,meta-llama/Llama-3.2-1B,7,138390.71875,0.764588748303373,0.7056769132614136,0.5088825225830078,0.8779562711715698
llama-3.2-1b,meta-llama/Llama-3.2-1B,8,135006.34375,0.7430153603468067,0.7090710401535034,0.5208002924919128,0.7886663675308228
llama-3.2-1b,meta-llama/Llama-3.2-1B,9,133045.65625,0.7286375670487478,0.7167928814888,0.522735059261322,0.7397775650024414
llama-3.2-1b,meta-llama/Llama-3.2-1B,10,136777.09375,0.7473826298695755,0.7062093019485474,0.49910804629325867,0.8234703540802002
llama-3.2-1b,meta-llama/Llama-3.2-1B,11,135096.46875,0.7362672444735296,0.7125045657157898,0.49422982335090637,0.7958755493164062
llama-3.2-1b,meta-llama/Llama-3.2-1B,12,132995.421875,0.7222448025773622,0.7174608707427979,0.4868333339691162,0.7769849300384521
llama-3.2-1b,meta-llama/Llama-3.2-1B,13,131053.203125,0.7087000624846059,0.7243210077285767,0.4743359386920929,0.7953803539276123
llama-3.2-1b,meta-llama/Llama-3.2-1B,14,135312.546875,0.6972994952632365,0.7320660352706909,0.4735299050807953,0.7690163850784302
llama-3.2-1b,meta-llama/Llama-3.2-1B,15,57252.578125,0.6338649959494321,1.5802019834518433,0.35020989179611206,0.6450920104980469
qwen2.5-7b,Qwen/Qwen2.5-7B,0,1480.353515625,0.3744776112397483,1.5472263097763062,0.20355375111103058,0.39781653881073
qwen2.5-7b,Qwen/Qwen2.5-7B,1,4878.63525390625,0.3757307828149425,1.22235107421875,0.2897234261035919,0.5666736960411072
qwen2.5-7b,Qwen/Qwen2.5-7B,2,5753.16796875,0.4197246005354099,1.3658487796783447,0.2372640073299408,0.5527057647705078
qwen2.5-7b,Qwen/Qwen2.5-7B,3,77611976.0,0.6537063880034144,1.3967642784118652,0.0003148589748889208,0.5530351400375366
qwen2.5-7b,Qwen/Qwen2.5-7B,4,135652432.0,0.7437229917986122,0.7098196148872375,0.4951695501804352,0.11698532104492188
qwen2.5-7b,Qwen/Qwen2.5-7B,5,140353856.0,0.7485947819230234,0.6983410120010376,0.48811012506484985,0.07788729667663574
qwen2.5-7b,Qwen/Qwen2.5-7B,6,154138368.0,0.802120459681608,0.7238655090332031,0.5238558650016785,0.23038461804389954
qwen2.5-7b,Qwen/Qwen2.5-7B,7,133382688.0,0.683932975303841,0.7341704964637756,0.5245212316513062,0.11163532733917236
qwen2.5-7b,Qwen/Qwen2.5-7B,8,143632896.0,0.7290333761530504,0.7035192251205444,0.4986237585544586,0.08893394470214844
qwen2.5-7b,Qwen/Qwen2.5-7B,9,142216784.0,0.7008135810670915,0.7199639081954956,0.51014244556427,0.08553624153137207
qwen2.5-7b,Qwen/Qwen2.5-7B,10,141467392.0,0.6919142467921429,0.7115632891654968,0.5122190117835999,0.09260773658752441
qwen2.5-7b,Qwen/Qwen2.5-7B,11,147956976.0,0.6959871858971411,0.7199995517730713,0.4984090328216553,0.0979764461517334
qwen2.5-7b,Qwen/Qwen2.5-7B,12,151933472.0,0.6991031070555519,0.713502824306488,0.49614396691322327,0.0630028247833252
qwen2.5-7b,Qwen/Qwen2.5-7B,13,148579296.0,0.6784419443454697,0.7086178064346313,0.5124639272689819,0.0762784481048584
qwen2.5-7b,Qwen/Qwen2.5-7B,14,156502432.0,0.7127723987044559,0.7027390003204346,0.4852248430252075,0.05060267448425293
qwen2.5-7b,Qwen/Qwen2.5-7B,15,149673680.0,0.6787811174057929,0.7224472761154175,0.5077060461044312,0.08900070190429688
qwen2.5-7b,Qwen/Qwen2.5-7B,16,153358832.0,0.6946254639386992,0.7109371423721313,0.4979856014251709,0.05149435997009277
qwen2.5-7b,Qwen/Qwen2.5-7B,17,153409216.0,0.6952413326832477,0.703982412815094,0.49775055050849915,0.05396294593811035
qwen2.5-7b,Qwen/Qwen2.5-7B,18,146374992.0,0.6644709714939736,0.7124767303466797,0.516674816608429,0.052675724029541016
qwen2.5-7b,Qwen/Qwen2.5-7B,19,148475584.0,0.6748347860044702,0.7202762961387634,0.5152885913848877,0.08248233795166016
qwen2.5-7b,Qwen/Qwen2.5-7B,20,146387232.0,0.6731948471600362,0.715695858001709,0.5078011155128479,0.06951546669006348
qwen2.5-7b,Qwen/Qwen2.5-7B,21,148362688.0,0.6838460530942542,0.7206369638442993,0.4975943863391876,0.07904219627380371
qwen2.5-7b,Qwen/Qwen2.5-7B,22,153070080.0,0.7087488651319263,0.7035808563232422,0.4763541519641876,0.06819438934326172
qwen2.5-7b,Qwen/Qwen2.5-7B,23,151387696.0,0.7065608602395281,0.7163662910461426,0.4872243404388428,0.10835599899291992
qwen2.5-7b,Qwen/Qwen2.5-7B,24,152182688.0,0.7215553108415615,0.7204950451850891,0.4882887303829193,0.14934158325195312
qwen2.5-7b,Qwen/Qwen2.5-7B,25,135014384.0,0.6696079725129322,0.7221251130104065,0.48261716961860657,0.08269667625427246
qwen2.5-7b,Qwen/Qwen2.5-7B,26,6813081.0,0.42724576498375977,0.8633290529251099,0.33389610052108765,0.0981137752532959
qwen2.5-7b,Qwen/Qwen2.5-7B,27,240244.546875,0.23934473036120704,1.6336803436279297,0.10635248571634293,0.06412076950073242
