model,full_name,layer,energy,smoothness_index,spectral_entropy,hfer,fiedler_value
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,0,126.29850769042969,0.3139760338666727,1.6497420072555542,0.06229270622134209,0.523222804069519
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,1,208.65206909179688,0.22267841733029425,1.650860071182251,0.0666666328907013,0.09797990322113037
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,2,3344321.75,0.49474363273020805,1.3701956272125244,0.0035042858216911554,0.21062839031219482
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,3,5500906.0,0.8134746594098933,0.6978751420974731,0.49490466713905334,0.8996663093566895
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,4,17610220.0,0.8148339948012298,0.6976690292358398,0.4947950839996338,0.9189755916595459
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,5,17520306.0,0.81020591911678,0.69743812084198,0.4953652620315552,0.8954856395721436
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,6,17432556.0,0.8045536134437027,0.7012110948562622,0.4968816637992859,0.8705778121948242
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,7,21062270.0,0.7981950003816219,0.7027544975280762,0.49791544675827026,0.8358047008514404
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,8,20889448.0,0.7915191764891146,0.7054065465927124,0.4981078803539276,0.8526511788368225
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,9,20695864.0,0.7839410722138868,0.7072304487228394,0.502068817615509,0.8277132511138916
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,10,20587656.0,0.7800103659608518,0.7086833119392395,0.4988817870616913,0.8348374366760254
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,11,20497334.0,0.7774685789773373,0.7090418338775635,0.50009685754776,0.7965881824493408
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,12,20529768.0,0.77921106663776,0.7059582471847534,0.49406135082244873,0.8666675090789795
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,13,20996340.0,0.7745649045440577,0.7052682638168335,0.49257054924964905,0.9012453556060791
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,14,20686922.0,0.7646244447885993,0.7155983448028564,0.49927806854248047,0.8435337543487549
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,15,20684340.0,0.7652060562008047,0.7131692171096802,0.4930862486362457,0.7998054027557373
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,16,20534598.0,0.7596047211162187,0.710932731628418,0.49399465322494507,0.8352689743041992
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,17,20562724.0,0.7604698311729137,0.7153997421264648,0.4891758859157562,0.8172163963317871
