model,full_name,layer,energy,smoothness_index,spectral_entropy,hfer,fiedler_value
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,0,157.4781494140625,0.32591696760980643,1.7667845487594604,0.039670541882514954,0.5356748104095459
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,1,266.9610595703125,0.24199107786222782,1.8168882131576538,0.04822216182947159,0.12185025215148926
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,2,4104249.0,0.5449611479818341,1.5317540168762207,0.02543805167078972,0.21759605407714844
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,3,6376339.0,0.8463148240565738,0.6976690292358398,0.49935027956962585,0.9077850580215454
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,4,19701596.0,0.8480335136356186,0.698858380317688,0.4981626570224762,0.9106667041778564
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,5,19593576.0,0.8428981732537812,0.7013334631919861,0.49855804443359375,0.8988831043243408
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,6,19528100.0,0.838457884280352,0.7037912607192993,0.500367283821106,0.8915326595306396
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,7,23445188.0,0.8312423209531871,0.7156147360801697,0.5012749433517456,0.8571364879608154
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,8,23305266.0,0.8261493252558676,0.7072018980979919,0.5018647909164429,0.8526413440704346
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,9,23087158.0,0.8181210934249836,0.7125002145767212,0.5050114989280701,0.8117237091064453
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,10,22895940.0,0.811460304899495,0.722425103187561,0.5015531182289124,0.829984188079834
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,11,22777632.0,0.808064628050832,0.7160881757736206,0.5024405121803284,0.8209702968597412
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,12,22689910.0,0.80542495795019,0.7157387733459473,0.498956561088562,0.8158564567565918
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,13,23158488.0,0.8003016186776882,0.7128421068191528,0.495548814535141,0.8492891788482666
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,14,22881370.0,0.7921271293459922,0.7216529846191406,0.5000619888305664,0.8038039207458496
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,15,22721626.0,0.787182277582182,0.7316945791244507,0.4991045892238617,0.754178524017334
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,16,22657980.0,0.7847596208296403,0.7136165499687195,0.49776187539100647,0.8049442768096924
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,17,22632036.0,0.7834469742731959,0.7292150259017944,0.4904668927192688,0.7807028293609619
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,18,22454706.0,0.7760860075615373,0.7322840690612793,0.49519082903862,0.7638344764709473
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,19,22700890.0,0.7750689818492107,0.7271341681480408,0.48943892121315,0.7463648319244385
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,20,22590552.0,0.7691872283310033,0.7408618927001953,0.4831897020339966,0.7691271305084229
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,21,22505516.0,0.762622493747181,0.7556045651435852,0.4788128733634949,0.7718935012817383
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,22,22623188.0,0.7617226809721955,0.7713366150856018,0.4739786386489868,0.7398462295532227
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,23,22671696.0,0.7559110690977064,0.7862470149993896,0.4705621600151062,0.7997537851333618
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,24,22870742.0,0.7524732767144352,0.8180359601974487,0.4715132415294647,0.7440299987792969
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,25,23252484.0,0.7533112022806466,0.8473026752471924,0.46366244554519653,0.7431676387786865
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,26,23717164.0,0.7528382730338922,0.8802264928817749,0.4601331055164337,0.7729053497314453
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,27,24079432.0,0.7548075289438526,0.920484185218811,0.459570974111557,0.7355103492736816
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,28,24538892.0,0.755577733307321,0.9876176118850708,0.4550900161266327,0.6622722148895264
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,29,3765373.75,0.587124346908489,1.8450711965560913,0.28641438484191895,0.736832857131958
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,30,4450348.5,0.5785540440588355,1.8727105855941772,0.2784007787704468,0.730107307434082
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,31,26774.73828125,0.360775749131238,2.0175621509552,0.17427803575992584,0.5237250328063965
llama-3.2-1b,meta-llama/Llama-3.2-1B,0,1119.05126953125,0.8179999339694278,0.8549343347549438,0.5134992599487305,0.7513761520385742
llama-3.2-1b,meta-llama/Llama-3.2-1B,1,151387.59375,0.8559596622809745,0.7002495527267456,0.5135396122932434,0.8121228218078613
llama-3.2-1b,meta-llama/Llama-3.2-1B,2,152635.25,0.8607528014882058,0.7031301259994507,0.5084318518638611,0.885347843170166
llama-3.2-1b,meta-llama/Llama-3.2-1B,3,149090.28125,0.8384584588736311,0.7305769920349121,0.5236210227012634,0.7957878112792969
llama-3.2-1b,meta-llama/Llama-3.2-1B,4,149372.0625,0.8365765459402881,0.7353125810623169,0.5281602144241333,0.7777535915374756
llama-3.2-1b,meta-llama/Llama-3.2-1B,5,151251.78125,0.8433656654547204,0.7234225869178772,0.5227081775665283,0.8284657001495361
llama-3.2-1b,meta-llama/Llama-3.2-1B,6,149051.21875,0.8269106809925483,0.7474197745323181,0.5340000987052917,0.7694453001022339
llama-3.2-1b,meta-llama/Llama-3.2-1B,7,151760.5,0.8377858761592832,0.725751519203186,0.5252708792686462,0.8510608673095703
llama-3.2-1b,meta-llama/Llama-3.2-1B,8,149343.0,0.821236855246783,0.7283611297607422,0.5353530049324036,0.7754347324371338
llama-3.2-1b,meta-llama/Llama-3.2-1B,9,149007.703125,0.8149564290892957,0.7406181693077087,0.5312166213989258,0.6896020174026489
llama-3.2-1b,meta-llama/Llama-3.2-1B,10,152277.703125,0.8304517367292494,0.7244554758071899,0.5121743083000183,0.7511520385742188
llama-3.2-1b,meta-llama/Llama-3.2-1B,11,151889.09375,0.82518057851166,0.7381905317306519,0.5011677742004395,0.7654170989990234
llama-3.2-1b,meta-llama/Llama-3.2-1B,12,150129.078125,0.8103211088480984,0.7590281963348389,0.49492424726486206,0.7588627338409424
llama-3.2-1b,meta-llama/Llama-3.2-1B,13,149152.3125,0.7987981394022395,0.781760573387146,0.48298075795173645,0.7762653827667236
llama-3.2-1b,meta-llama/Llama-3.2-1B,14,154873.5625,0.7873324718560979,0.8158440589904785,0.4771585166454315,0.774592399597168
llama-3.2-1b,meta-llama/Llama-3.2-1B,15,110463.21875,0.7224269939217038,2.4134976863861084,0.27627572417259216,0.644232988357544
qwen2.5-7b,Qwen/Qwen2.5-7B,0,1613.8076171875,0.4145858523063036,2.233426570892334,0.06254750490188599,0.23935115337371826
qwen2.5-7b,Qwen/Qwen2.5-7B,1,4022.619873046875,0.4464598562930794,2.116360664367676,0.11716938018798828,0.5124427080154419
qwen2.5-7b,Qwen/Qwen2.5-7B,2,6515.94921875,0.5317021599245773,2.2161107063293457,0.1616617888212204,0.5302965641021729
qwen2.5-7b,Qwen/Qwen2.5-7B,3,66524408.0,0.6356208920514358,1.4080300331115723,0.5811411738395691,0.44789743423461914
qwen2.5-7b,Qwen/Qwen2.5-7B,4,136998752.0,0.8353903554926891,0.7224380373954773,0.5095139145851135,0.8385777473449707
qwen2.5-7b,Qwen/Qwen2.5-7B,5,142633520.0,0.844197603676721,0.7004425525665283,0.5008824467658997,0.9042940139770508
qwen2.5-7b,Qwen/Qwen2.5-7B,6,142321248.0,0.8199257823885358,0.7293708324432373,0.5177420973777771,0.7912969589233398
qwen2.5-7b,Qwen/Qwen2.5-7B,7,143425440.0,0.813526586006975,0.7319978475570679,0.5217907428741455,0.7534174919128418
qwen2.5-7b,Qwen/Qwen2.5-7B,8,146589680.0,0.8226333338960108,0.7255350351333618,0.513788104057312,0.8141639232635498
qwen2.5-7b,Qwen/Qwen2.5-7B,9,147708512.0,0.8036939104035985,0.8264986276626587,0.5247451066970825,0.663250207901001
qwen2.5-7b,Qwen/Qwen2.5-7B,10,149184304.0,0.8053661774189397,0.7289817333221436,0.5274949669837952,0.6865518093109131
qwen2.5-7b,Qwen/Qwen2.5-7B,11,157098016.0,0.814093954945948,0.7203265428543091,0.5171233415603638,0.7767436504364014
qwen2.5-7b,Qwen/Qwen2.5-7B,12,159584144.0,0.8081491731508682,0.7434797883033752,0.5195384621620178,0.7374751567840576
qwen2.5-7b,Qwen/Qwen2.5-7B,13,157550496.0,0.7914623489560024,0.8124250769615173,0.52223801612854,0.6364704370498657
qwen2.5-7b,Qwen/Qwen2.5-7B,14,162543152.0,0.8143941285716908,0.749297022819519,0.5122929811477661,0.7063331604003906
qwen2.5-7b,Qwen/Qwen2.5-7B,15,160446576.0,0.8003121308858739,0.7472854852676392,0.5243936777114868,0.7580562829971313
qwen2.5-7b,Qwen/Qwen2.5-7B,16,162883648.0,0.8113997032798465,0.7311707139015198,0.513108491897583,0.7892763614654541
qwen2.5-7b,Qwen/Qwen2.5-7B,17,163401104.0,0.8144542583248825,0.7086579203605652,0.5121316909790039,0.8372395038604736
qwen2.5-7b,Qwen/Qwen2.5-7B,18,157158896.0,0.7846811116642818,0.7338762283325195,0.5300241708755493,0.6449202299118042
qwen2.5-7b,Qwen/Qwen2.5-7B,19,156699296.0,0.7834316745318827,0.7545751333236694,0.5311746001243591,0.7005047798156738
qwen2.5-7b,Qwen/Qwen2.5-7B,20,156868512.0,0.7938573531837306,0.7162398099899292,0.5169488787651062,0.70166015625
qwen2.5-7b,Qwen/Qwen2.5-7B,21,155320640.0,0.7878584193210738,0.746768593788147,0.5157320499420166,0.7361150979995728
qwen2.5-7b,Qwen/Qwen2.5-7B,22,157561312.0,0.802601785522464,0.7130779027938843,0.4912714660167694,0.858057975769043
qwen2.5-7b,Qwen/Qwen2.5-7B,23,153280656.0,0.786663321856419,0.7223963737487793,0.4960155487060547,0.7658534049987793
qwen2.5-7b,Qwen/Qwen2.5-7B,24,149034272.0,0.7774137559199223,0.7293728590011597,0.491258829832077,0.7005095481872559
qwen2.5-7b,Qwen/Qwen2.5-7B,25,141321344.0,0.7686738094415483,0.7523356676101685,0.48612871766090393,0.7218465805053711
qwen2.5-7b,Qwen/Qwen2.5-7B,26,8299996.0,0.4934973077033302,1.2924522161483765,0.3313312232494354,0.7594242095947266
qwen2.5-7b,Qwen/Qwen2.5-7B,27,411473.25,0.2903336425605282,2.0121917724609375,0.14746221899986267,0.6013078689575195
