model,full_name,layer,energy,smoothness_index,spectral_entropy,hfer,fiedler_value
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,0,155.74046325683594,0.34403213229463336,1.7805696725845337,0.08000359684228897,0.5282740592956543
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,1,302.95208740234375,0.2468063289368074,1.5885041952133179,0.065031498670578,0.20703792572021484
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,2,3081179.0,0.4551028563541171,1.3361914157867432,3.392021608306095e-05,0.38003432750701904
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,3,5580120.0,0.823872719422079,0.6973351240158081,0.49721288681030273,0.8955097198486328
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,4,18349308.0,0.8264255364762408,0.697410523891449,0.49665117263793945,0.8942651748657227
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,5,18223600.0,0.8202946355586445,0.6985409259796143,0.49927571415901184,0.9000434875488281
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,6,18140996.0,0.8149615124783344,0.703332781791687,0.5011417865753174,0.8874502182006836
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,7,21884192.0,0.8068590231590547,0.7162104845046997,0.5031875371932983,0.8440334796905518
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,8,21778070.0,0.8027694239681601,0.706529974937439,0.5031684041023254,0.8529922962188721
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,9,21483138.0,0.7916167065389633,0.7072259783744812,0.5099648237228394,0.8336892127990723
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,10,21323446.0,0.7858636830883667,0.718104362487793,0.5052252411842346,0.836944580078125
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,11,21255260.0,0.7841738063548623,0.7204920053482056,0.5041200518608093,0.8233914375305176
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,12,21129640.0,0.780005875430681,0.7221685647964478,0.5035064220428467,0.8106305599212646
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,13,21739418.0,0.7806863371852294,0.7135454416275024,0.49781331419944763,0.8136909008026123
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,14,21363182.0,0.768474047935566,0.7285720109939575,0.5060573220252991,0.812772274017334
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,15,21278658.0,0.7660695747368882,0.7303182482719421,0.5017085671424866,0.7891675233840942
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,16,21202468.0,0.7631850426232426,0.7183647155761719,0.5009977221488953,0.7657709121704102
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,17,21215472.0,0.7634018574559115,0.7347331643104553,0.4930458068847656,0.7847585678100586
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,18,21048786.0,0.7563259625925834,0.7372941374778748,0.4965400695800781,0.7758820056915283
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,19,21316240.0,0.7565452351176706,0.7291080951690674,0.49173155426979065,0.772761344909668
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,20,21293960.0,0.7539119123050169,0.7369023561477661,0.4825332462787628,0.8232114315032959
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,21,21202764.0,0.7477649855315758,0.7533241510391235,0.4805511236190796,0.7954685688018799
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,22,21333362.0,0.7481932210137827,0.7637878656387329,0.474619060754776,0.7716002464294434
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,23,21437118.0,0.7460054286151171,0.7760711908340454,0.4705335795879364,0.7964324951171875
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,24,21533292.0,0.7405723525559459,0.806937575340271,0.47370395064353943,0.7676260471343994
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,25,21918084.0,0.7440811858105979,0.8299574851989746,0.4658311903476715,0.7453093528747559
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,26,22252496.0,0.7424963725195979,0.8558120727539062,0.46279022097587585,0.771167516708374
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,27,22415064.0,0.7423094444275918,0.8872443437576294,0.4605213403701782,0.732079267501831
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,28,22723532.0,0.7443216300835293,0.9336461424827576,0.4585806429386139,0.6715927124023438
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,29,3043768.0,0.5861947734364581,1.7150251865386963,0.3140326738357544,0.7168741226196289
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,30,3482023.0,0.5555274939621484,1.7216401100158691,0.2957155406475067,0.7429871559143066
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,31,19929.732421875,0.3223737968192861,1.7960689067840576,0.21338818967342377,0.5432922840118408
llama-3.2-1b,meta-llama/Llama-3.2-1B,0,1102.57421875,0.8064555818036137,0.8493983149528503,0.514262855052948,0.7558536529541016
llama-3.2-1b,meta-llama/Llama-3.2-1B,1,149712.28125,0.8465120421143361,0.7006139755249023,0.5125280022621155,0.805483341217041
llama-3.2-1b,meta-llama/Llama-3.2-1B,2,150683.90625,0.8498102553324794,0.7099308967590332,0.5065734386444092,0.8502123355865479
llama-3.2-1b,meta-llama/Llama-3.2-1B,3,147470.78125,0.8293559126866684,0.7174083590507507,0.5256885290145874,0.7968130111694336
llama-3.2-1b,meta-llama/Llama-3.2-1B,4,147419.84375,0.8257464553240069,0.7318612337112427,0.5287665128707886,0.7932713031768799
llama-3.2-1b,meta-llama/Llama-3.2-1B,5,148911.78125,0.8303848939342506,0.7270128726959229,0.5271260142326355,0.8093259334564209
llama-3.2-1b,meta-llama/Llama-3.2-1B,6,146498.84375,0.8128555295679399,0.760904848575592,0.5346206426620483,0.7047446966171265
llama-3.2-1b,meta-llama/Llama-3.2-1B,7,150050.03125,0.8284422938198625,0.7266881465911865,0.5264663100242615,0.8049817085266113
llama-3.2-1b,meta-llama/Llama-3.2-1B,8,147322.3125,0.810283138484734,0.7488645315170288,0.532396674156189,0.7408111095428467
llama-3.2-1b,meta-llama/Llama-3.2-1B,9,147195.0625,0.8052662734285613,0.7523757219314575,0.5298802852630615,0.6862459182739258
llama-3.2-1b,meta-llama/Llama-3.2-1B,10,151093.53125,0.8244621250759453,0.7249072194099426,0.5113462805747986,0.7754485607147217
llama-3.2-1b,meta-llama/Llama-3.2-1B,11,151626.265625,0.8244172440753363,0.7359362840652466,0.5009775161743164,0.7868452072143555
llama-3.2-1b,meta-llama/Llama-3.2-1B,12,149426.453125,0.808310782804258,0.7472252249717712,0.49575990438461304,0.7842484712600708
llama-3.2-1b,meta-llama/Llama-3.2-1B,13,148184.1875,0.7961572047709385,0.7673996686935425,0.48456546664237976,0.7935755252838135
llama-3.2-1b,meta-llama/Llama-3.2-1B,14,152978.796875,0.7812228854068372,0.7935481667518616,0.47848743200302124,0.7559244632720947
llama-3.2-1b,meta-llama/Llama-3.2-1B,15,97451.453125,0.6891213745096956,2.325425148010254,0.287625253200531,0.6387779712677002
qwen2.5-7b,Qwen/Qwen2.5-7B,0,1672.2984619140625,0.4140856543683498,2.191682815551758,0.09573759883642197,0.3239976763725281
qwen2.5-7b,Qwen/Qwen2.5-7B,1,3157.111083984375,0.39721142587960884,1.9733037948608398,0.06508321315050125,0.5082079768180847
qwen2.5-7b,Qwen/Qwen2.5-7B,2,7100.48828125,0.5837900369572839,2.2863516807556152,0.16182370483875275,0.49589163064956665
qwen2.5-7b,Qwen/Qwen2.5-7B,3,63166740.0,0.5274795540811605,1.5249412059783936,0.0010136186610907316,0.39783334732055664
qwen2.5-7b,Qwen/Qwen2.5-7B,4,151050432.0,0.8212031848652963,0.7230991125106812,0.5155673623085022,0.8674325942993164
qwen2.5-7b,Qwen/Qwen2.5-7B,5,157066880.0,0.8311227473781994,0.7100333571434021,0.5061384439468384,0.932220458984375
qwen2.5-7b,Qwen/Qwen2.5-7B,6,154912624.0,0.7989794197198087,0.7712091207504272,0.5299249291419983,0.7749015092849731
qwen2.5-7b,Qwen/Qwen2.5-7B,7,156653920.0,0.7961115803695515,0.7449440956115723,0.5314489603042603,0.8115506172180176
qwen2.5-7b,Qwen/Qwen2.5-7B,8,160110336.0,0.8054598300202112,0.7553876638412476,0.5217278599739075,0.7714145183563232
qwen2.5-7b,Qwen/Qwen2.5-7B,9,162548736.0,0.7942242139312985,0.7845261096954346,0.5296448469161987,0.7058497667312622
qwen2.5-7b,Qwen/Qwen2.5-7B,10,163406784.0,0.7924700123174019,0.7498424053192139,0.5299234986305237,0.660405158996582
qwen2.5-7b,Qwen/Qwen2.5-7B,11,173104128.0,0.8075639101381106,0.7329827547073364,0.5156034827232361,0.8025217056274414
qwen2.5-7b,Qwen/Qwen2.5-7B,12,176161248.0,0.8039566068043309,0.7393897771835327,0.5198189616203308,0.7526397705078125
qwen2.5-7b,Qwen/Qwen2.5-7B,13,171735664.0,0.7778029875925199,0.8138666152954102,0.526441216468811,0.6172124147415161
qwen2.5-7b,Qwen/Qwen2.5-7B,14,178654272.0,0.8070783610845399,0.7394483089447021,0.5122346878051758,0.7290792465209961
qwen2.5-7b,Qwen/Qwen2.5-7B,15,175841248.0,0.7910059163079934,0.7597484588623047,0.5252344608306885,0.7095848321914673
qwen2.5-7b,Qwen/Qwen2.5-7B,16,178846720.0,0.803503871265941,0.7248662710189819,0.5147625207901001,0.7748305797576904
qwen2.5-7b,Qwen/Qwen2.5-7B,17,179487392.0,0.8068364553219812,0.7114527821540833,0.5135883092880249,0.7930426597595215
qwen2.5-7b,Qwen/Qwen2.5-7B,18,170766592.0,0.768934917296128,0.7465528249740601,0.5337899327278137,0.5885703563690186
