model,full_name,layer,energy,smoothness_index,spectral_entropy,hfer,fiedler_value
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,0,58.590789794921875,0.2579887844459303,1.2310841083526611,0.09915940463542938,0.5337753295898438
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,1,128.94778442382812,0.21677326724972754,1.2578787803649902,0.09882170706987381,0.15068304538726807
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,2,3104099.5,0.4072222299477686,1.2838164567947388,0.26024141907691956,0.30367517471313477
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,3,4964858.5,0.6511326555677626,0.6936432123184204,0.46318766474723816,0.9545081853866577
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,4,15301286.0,0.6452337468526415,0.7017977237701416,0.46617668867111206,0.9456727504730225
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,5,15359554.0,0.6473667928281815,0.6923710107803345,0.46485117077827454,0.9581224918365479
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,6,15227450.0,0.6406155145786522,0.7010356187820435,0.4673827588558197,0.9416670799255371
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,7,18254832.0,0.6338392659105015,0.7028250694274902,0.4693484902381897,0.9163745641708374
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,8,17970012.0,0.6238775159484442,0.7093142867088318,0.4728999435901642,0.8938231468200684
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,9,17581854.0,0.6102419031208812,0.7014358043670654,0.4816574454307556,0.8511067628860474
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,10,17473800.0,0.6067032975121756,0.7372443675994873,0.4751802384853363,0.9002319574356079
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,11,17424260.0,0.6056689545762014,0.711063802242279,0.4786304831504822,0.853204607963562
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,12,17409858.0,0.6056399488795361,0.714929461479187,0.4763273000717163,0.8572158813476562
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,13,18151254.0,0.6152156624238813,0.7038648128509521,0.46766942739486694,0.9020707607269287
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,14,17920386.0,0.6086274754336479,0.7125546932220459,0.4700329899787903,0.8897687196731567
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,15,17860254.0,0.6073094398211148,0.7127008438110352,0.4689474105834961,0.8341933488845825
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,16,17812008.0,0.6058537033352211,0.7033103704452515,0.46978989243507385,0.871711254119873
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,17,17848170.0,0.6073020915995282,0.7058285474777222,0.4663514792919159,0.8555930852890015
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,18,17378476.0,0.5913179830327895,0.7099604606628418,0.47708380222320557,0.8112375736236572
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,19,17691054.0,0.5953211153842608,0.705274760723114,0.4730856418609619,0.7792305946350098
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,20,17964932.0,0.6044421027060872,0.7114747762680054,0.4633294343948364,0.8544269800186157
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,21,17701776.0,0.5952883718014699,0.7360011339187622,0.4640533924102783,0.832758903503418
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,22,17854014.0,0.5999489502783373,0.740348219871521,0.45839595794677734,0.8034034967422485
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,23,17914460.0,0.6004757023749588,0.7173539400100708,0.4626823961734772,0.808573842048645
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,24,17754272.0,0.5935833664935648,0.7568120956420898,0.45638346672058105,0.7583112716674805
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,25,18103078.0,0.6053315492575516,0.7373346090316772,0.45669108629226685,0.7784042358398438
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,26,18131814.0,0.6042014222671501,0.7434589862823486,0.4582030773162842,0.8065667152404785
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,27,18030344.0,0.6063944708103481,0.7513339519500732,0.4560578465461731,0.7662557363510132
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,28,17538804.0,0.5911811066936916,0.7684164047241211,0.4653278887271881,0.7567175626754761
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,29,1194282.625,0.5130735671762178,1.0657768249511719,0.35013484954833984,0.7732442617416382
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,30,1148971.125,0.4785019576281907,1.1618767976760864,0.31023475527763367,0.7217353582382202
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,31,9335.30859375,0.30102014917749836,1.171605110168457,0.1665339171886444,0.6134289503097534
llama-3.2-1b,meta-llama/Llama-3.2-1B,0,936.013916015625,0.6943497051935059,0.7769103050231934,0.4982464611530304,0.8143885135650635
llama-3.2-1b,meta-llama/Llama-3.2-1B,1,129521.609375,0.7324891143485592,0.6975868940353394,0.48867538571357727,0.9262838363647461
llama-3.2-1b,meta-llama/Llama-3.2-1B,2,130494.21875,0.7362106233940408,0.7008804082870483,0.4855969250202179,0.9333652257919312
llama-3.2-1b,meta-llama/Llama-3.2-1B,3,128313.625,0.7220465285095092,0.7151449918746948,0.4925054609775543,0.8674741983413696
llama-3.2-1b,meta-llama/Llama-3.2-1B,4,124775.3203125,0.6993229486033631,0.7383493185043335,0.5050930380821228,0.8226354122161865
llama-3.2-1b,meta-llama/Llama-3.2-1B,5,126030.8125,0.7032516302529683,0.7345268726348877,0.5043496489524841,0.8808810710906982
llama-3.2-1b,meta-llama/Llama-3.2-1B,6,122995.515625,0.6829413984203454,0.7692014575004578,0.5081751346588135,0.7781225442886353
llama-3.2-1b,meta-llama/Llama-3.2-1B,7,127146.0625,0.7025629283663386,0.7217167615890503,0.505666196346283,0.8858805894851685
llama-3.2-1b,meta-llama/Llama-3.2-1B,8,123555.375,0.6802418937897766,0.765705406665802,0.5076301097869873,0.7831259965896606
llama-3.2-1b,meta-llama/Llama-3.2-1B,9,122426.8125,0.6708305283302952,0.754631757736206,0.5129896402359009,0.758306622505188
llama-3.2-1b,meta-llama/Llama-3.2-1B,10,127786.921875,0.6987701917081243,0.7181617617607117,0.4978085160255432,0.8148508071899414
llama-3.2-1b,meta-llama/Llama-3.2-1B,11,129246.890625,0.7051375690684032,0.7222049236297607,0.4842253625392914,0.8381305932998657
llama-3.2-1b,meta-llama/Llama-3.2-1B,12,127781.71875,0.6952966052340049,0.7255253791809082,0.48244616389274597,0.814736008644104
