model,full_name,layer,energy,smoothness_index,spectral_entropy,hfer,fiedler_value
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,0,79.18048095703125,0.26086922424317255,1.3101600408554077,0.03585493564605713,0.5424584150314331
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,1,145.09576416015625,0.18747349266832244,1.2972643375396729,0.05378061532974243,0.1488245725631714
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,2,2698886.0,0.40263749890534367,1.4070470333099365,0.0016265714075416327,0.2690661549568176
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,3,4898896.5,0.730590947072571,0.6951327323913574,0.48198381066322327,0.9422848224639893
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,4,16134754.0,0.7317168893172784,0.6951448917388916,0.4823388457298279,0.9380892515182495
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,5,16124934.0,0.7308868565291105,0.6946849822998047,0.48109176754951477,0.9432229995727539
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,6,15970647.0,0.722510516015378,0.6969432830810547,0.4858649671077728,0.9307593107223511
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,7,19133298.0,0.7117593854018277,0.7022237181663513,0.49095621705055237,0.864793062210083
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,8,19065806.0,0.7091542908697371,0.6975570917129517,0.4892866015434265,0.8656673431396484
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,9,18748340.0,0.6971371711870564,0.698665201663971,0.495248943567276,0.8175188302993774
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,10,18572742.0,0.6908039413677729,0.7034794688224792,0.4964780807495117,0.892786979675293
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,11,18506856.0,0.689127577136381,0.7021176815032959,0.49596717953681946,0.8302403688430786
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,12,18384302.0,0.6850484739104186,0.705986499786377,0.4957301914691925,0.819044828414917
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,13,19009670.0,0.6891186957776337,0.706470251083374,0.48702794313430786,0.8469600677490234
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,14,18847100.0,0.6846353772002336,0.7023817300796509,0.4909541606903076,0.8347440958023071
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,15,18430964.0,0.6702181887920798,0.7233228087425232,0.4952155649662018,0.7857388257980347
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,16,18610486.0,0.6768789428714542,0.704235315322876,0.49004051089286804,0.8233159780502319
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,17,18559164.0,0.6751416770052393,0.7082990407943726,0.4896736741065979,0.8167810440063477
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,18,18437792.0,0.6705082224553038,0.7089380025863647,0.49078938364982605,0.7859206199645996
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,19,18731036.0,0.6732032899670152,0.7100505232810974,0.4853663444519043,0.7695832252502441
