Model,Phenomenon,Metric,Early_Layers_g,Final_Layers_g,Max_Percent_Change,Max_Percent_Change_Layer
Qwen2.5 7B,Agreement Correct vs Agreement Error,Energy,0.005566436224442993,0.011024546781553268,14.312188081826887,27
Qwen2.5 7B,Agreement Correct vs Agreement Error,Hfer,-0.011689170749694609,0.003029935884992227,16.85316829097396,3
Qwen2.5 7B,Agreement Correct vs Agreement Error,Spectral Entropy,-0.055280894706884166,0.026854787468402922,5.70793422695654,3
Qwen2.5 7B,Agreement Correct vs Agreement Error,Smoothness Index,0.015225640730786442,0.05501555203932628,10.77768155574892,27
Qwen2.5 7B,Agreement Correct vs Agreement Error,Fiedler Value,-0.006622786525367209,-0.2826088487930435,19.502196107003876,27
LLaMA 3.2 1B,Agreement Correct vs Agreement Error,Energy,0.005332732530034665,0.008199553910470751,1.5157184446759076,15
LLaMA 3.2 1B,Agreement Correct vs Agreement Error,Hfer,-0.10084266500707283,-0.04177461920246404,2.613216316101513,15
LLaMA 3.2 1B,Agreement Correct vs Agreement Error,Spectral Entropy,-0.02166453261632903,0.025069075905267975,2.8327528831150572,15
LLaMA 3.2 1B,Agreement Correct vs Agreement Error,Smoothness Index,0.05482500772038141,0.13758615555839485,1.4022267608087966,15
LLaMA 3.2 1B,Agreement Correct vs Agreement Error,Fiedler Value,-0.07327508564043632,0.0948390817773423,2.0341975969581343,7
Phi-3 Mini,Agreement Correct vs Agreement Error,Energy,0.0015194984693315031,-1.613150120240368e-05,4.207552965179389,30
Phi-3 Mini,Agreement Correct vs Agreement Error,Hfer,0.00898879641883832,-0.004720750486418376,20.197664759109653,0
Phi-3 Mini,Agreement Correct vs Agreement Error,Spectral Entropy,-0.01856622734333802,-0.022109351390172925,5.441206525814153,2
Phi-3 Mini,Agreement Correct vs Agreement Error,Smoothness Index,0.0055749313486983115,-0.024980181632868914,4.334877205755146,31
Phi-3 Mini,Agreement Correct vs Agreement Error,Fiedler Value,-0.01011085282206943,-0.03572078676285037,7.571161492168933,22
Qwen2.5 7B,Declarative vs Wh Question,Energy,-0.16712468215192253,-0.0953806317647009,45.56012681776068,0
Qwen2.5 7B,Declarative vs Wh Question,Hfer,-0.28658612634035535,0.25088185516235456,580.6914828841219,1
Qwen2.5 7B,Declarative vs Wh Question,Spectral Entropy,0.3182983499138744,0.10120485876485535,36.88515325183119,3
Qwen2.5 7B,Declarative vs Wh Question,Smoothness Index,0.3051137378888772,0.5649385433744063,35.532925302280766,27
Qwen2.5 7B,Declarative vs Wh Question,Fiedler Value,-0.05571008294324853,0.07398732230665137,18.420056673486325,1
LLaMA 3.2 1B,Declarative vs Wh Question,Energy,0.14938712967591602,0.18422903485721223,16.612703239382963,15
LLaMA 3.2 1B,Declarative vs Wh Question,Hfer,1.2932046829422674,-0.10816139663432585,25.219690619376678,15
LLaMA 3.2 1B,Declarative vs Wh Question,Spectral Entropy,0.23209234441005291,0.13778864492313553,14.536104959659063,15
LLaMA 3.2 1B,Declarative vs Wh Question,Smoothness Index,1.8594757023754434,1.3738020398150557,6.1230251770698985,12
LLaMA 3.2 1B,Declarative vs Wh Question,Fiedler Value,0.2659166173842109,-0.017459012694743602,9.79222795848807,8
Phi-3 Mini,Declarative vs Wh Question,Energy,0.16919088613849315,0.08873526840775489,28.32909475563498,31
Phi-3 Mini,Declarative vs Wh Question,Hfer,0.0005833589400969168,0.3871694083046325,143.4754867521947,2
Phi-3 Mini,Declarative vs Wh Question,Spectral Entropy,-0.014173827254536935,-0.3367854233560322,20.132148215607586,31
Phi-3 Mini,Declarative vs Wh Question,Smoothness Index,-0.02616347327401084,0.1499261723124031,21.0648292161081,31
Phi-3 Mini,Declarative vs Wh Question,Fiedler Value,-0.08900383877259405,-0.03286153448471183,77.72824772068351,1
Qwen2.5 7B,Einstein Active vs Einstein Passive,Energy,-0.15005302257861217,-0.12287293006572395,42.956324632601806,27
Qwen2.5 7B,Einstein Active vs Einstein Passive,Hfer,0.2013950913293478,-0.3027334807463513,98.61881629725168,3
Qwen2.5 7B,Einstein Active vs Einstein Passive,Spectral Entropy,-0.0818113969078803,0.06373304459868893,12.517355580636453,0
Qwen2.5 7B,Einstein Active vs Einstein Passive,Smoothness Index,-0.014059160788999957,-0.3004818339585253,23.998492625400768,3
Qwen2.5 7B,Einstein Active vs Einstein Passive,Fiedler Value,0.09564928972526884,-0.13530812903789516,30.5793998659336,0
LLaMA 3.2 1B,Einstein Active vs Einstein Passive,Energy,-0.09780651998903311,-0.11550387154475343,12.321922713875836,15
LLaMA 3.2 1B,Einstein Active vs Einstein Passive,Hfer,-1.0600426791439885,-0.1166907538007171,15.381704913686614,15
LLaMA 3.2 1B,Einstein Active vs Einstein Passive,Spectral Entropy,-0.18534169345465287,0.016764142057687142,4.002288688869492,0
LLaMA 3.2 1B,Einstein Active vs Einstein Passive,Smoothness Index,-1.0771779339129104,-0.39516077923782045,3.7591990663832426,1
LLaMA 3.2 1B,Einstein Active vs Einstein Passive,Fiedler Value,0.1489084709682764,-0.11811286086879454,6.907583664430822,0
Phi-3 Mini,Einstein Active vs Einstein Passive,Energy,-0.24919153407725161,-0.14157292845133249,44.5152597068575,1
Phi-3 Mini,Einstein Active vs Einstein Passive,Hfer,-0.04038575947152562,0.07018556944681106,95.20386016764797,2
Phi-3 Mini,Einstein Active vs Einstein Passive,Spectral Entropy,-0.07007691791432831,-0.2545092353284942,13.598487517990462,1
Phi-3 Mini,Einstein Active vs Einstein Passive,Smoothness Index,-0.19473055578545573,-0.06004941522426275,16.36497125443408,31
Phi-3 Mini,Einstein Active vs Einstein Passive,Fiedler Value,0.08354752872081905,-0.015416712689877262,19.753606573072098,2
