Model,Metric,Baseline_Condition,Comparison_Condition,Phenomenon,Overall_Hedges_g,Overall_P_value,Early_Layers_g,Early_Layers_p,Final_Layers_g,Final_Layers_p,Max_Absolute_Diff,Max_Absolute_Diff_Layer,Max_Percent_Change,Max_Percent_Change_Layer,Baseline_Mean,Comparison_Mean,Effect_Magnitude_Overall,Effect_Magnitude_Early,Effect_Magnitude_Final
Qwen2.5 7B,Energy,Agreement Correct,Agreement Error,Agreement Correct vs Agreement Error,0.014664908942385566,0.9558279759979961,0.005566436224442993,0.9893076855479945,0.011024546781553268,0.9850752470062272,2713184.0,18,14.312188081826887,27,95425500.49659947,94743183.49642508,Negligible,Negligible,Negligible
Qwen2.5 7B,Hfer,Agreement Correct,Agreement Error,Agreement Correct vs Agreement Error,-0.016199848028837394,0.9512102487697472,-0.011689170749694609,0.9775492696897307,0.003029935884992227,0.9958978845133866,0.0166262686252594,1,16.85316829097396,3,0.42275793557720526,0.4244706840919597,Negligible,Negligible,Negligible
Qwen2.5 7B,Spectral Entropy,Agreement Correct,Agreement Error,Agreement Correct vs Agreement Error,-0.022362563228282215,0.9326888245358245,-0.055280894706884166,0.894146455028107,0.026854787468402922,0.9636571870151722,0.06966245174407959,3,5.70793422695654,3,0.8022268478359494,0.8063813256365913,Negligible,Negligible,Negligible
Qwen2.5 7B,Smoothness Index,Agreement Correct,Agreement Error,Agreement Correct vs Agreement Error,0.0448785499328579,0.8654134966805341,0.015225640730786442,0.9707598655298488,0.05501555203932628,0.9256454200411659,0.026179795698505037,27,10.77768155574892,27,0.5253574034902806,0.521051349913756,Negligible,Negligible,Negligible
Qwen2.5 7B,Fiedler Value,Agreement Correct,Agreement Error,Agreement Correct vs Agreement Error,-0.013740502882849039,0.9586097148456546,-0.006622786525367209,0.9872787605908313,-0.2826088487930435,0.6340967056690658,0.01276475191116333,0,19.502196107003876,27,0.1397459874195712,0.1424696607781308,Negligible,Negligible,Small
LLaMA 3.2 1B,Energy,Agreement Correct,Agreement Error,Agreement Correct vs Agreement Error,0.006727005142918594,0.9845563894845051,0.005332732530034665,0.9897565692227817,0.008199553910470751,0.9888993046467451,553.03515625,15,1.5157184446759076,15,106491.20524597168,106250.02585983276,Negligible,Negligible,Negligible
LLaMA 3.2 1B,Hfer,Agreement Correct,Agreement Error,Agreement Correct vs Agreement Error,-0.03745974412035629,0.9141703040496991,-0.10084266500707283,0.8083171545506057,-0.04177461920246404,0.9434992741735371,0.009406685829162598,15,2.613216316101513,15,0.4825695063918829,0.4838732145726681,Negligible,Negligible,Negligible
LLaMA 3.2 1B,Spectral Entropy,Agreement Correct,Agreement Error,Agreement Correct vs Agreement Error,0.01290927550352662,0.9703685764846934,-0.02166453261632903,0.9584045462609425,0.025069075905267975,0.966071999068022,0.03958773612976074,15,2.8327528831150572,15,0.7650726996362209,0.7628859058022499,Negligible,Negligible,Negligible
LLaMA 3.2 1B,Smoothness Index,Agreement Correct,Agreement Error,Agreement Correct vs Agreement Error,0.07263616940954344,0.8345000916863031,0.05482500772038141,0.8950139376537879,0.13758615555839485,0.8157284060877229,0.008542190467442312,15,1.4022267608087966,15,0.6522653488991009,0.6505868415749483,Negligible,Negligible,Negligible
LLaMA 3.2 1B,Fiedler Value,Agreement Correct,Agreement Error,Agreement Correct vs Agreement Error,0.0012806186668016246,0.9970598169400138,-0.07327508564043632,0.8600263444032621,0.0948390817773423,0.8722600990141888,0.01814091205596924,7,2.0341975969581343,7,0.8368514887988567,0.8367531299591064,Negligible,Negligible,Negligible
