model,full_name,layer,energy,smoothness_index,spectral_entropy,hfer,fiedler_value
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,0,77.98524475097656,0.2856621531648394,1.4272311925888062,0.06012033298611641,0.558587372303009
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,1,136.27703857421875,0.1583939433601738,1.1848561763763428,0.04021101072430611,0.15918010473251343
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,2,3443431.25,0.3979609626421206,1.5182310342788696,7.656225352548063e-05,0.35714495182037354
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,3,6314081.5,0.7295079258730615,0.695228099822998,0.48292553424835205,0.9343397617340088
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,4,18618326.0,0.7324638601625162,0.6946340799331665,0.481558620929718,0.9324595928192139
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,5,18519872.0,0.7282285678334657,0.695495069026947,0.48252740502357483,0.935413122177124
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,6,18377388.0,0.7212998807762824,0.7014515399932861,0.485151469707489,0.9245270490646362
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,7,21933852.0,0.7153811907684089,0.6978868246078491,0.48766523599624634,0.8962242603302002
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,8,21721512.0,0.7083703853958021,0.7057023048400879,0.4878828227519989,0.869902491569519
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,9,21392046.0,0.6974418298184302,0.7059864401817322,0.49394020438194275,0.8291171789169312
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,10,21338078.0,0.6958868275216658,0.7069476842880249,0.49115681648254395,0.8533487319946289
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,11,21297692.0,0.695319548321098,0.7044060230255127,0.49009957909584045,0.8225781917572021
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,12,21301430.0,0.6959524944007356,0.7001104354858398,0.4882522523403168,0.8461374044418335
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,13,21921794.0,0.6986995689835416,0.6988765001296997,0.48161405324935913,0.8881438970565796
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,14,21627768.0,0.6906669292940828,0.7051443457603455,0.4857427179813385,0.8724340200424194
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,15,21591266.0,0.6902127623118234,0.703734278678894,0.48404136300086975,0.8466174602508545
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,16,21436990.0,0.6853604296739049,0.7046405673027039,0.4839265048503876,0.862483024597168
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,17,21327548.0,0.6819602782973628,0.7138797044754028,0.48323699831962585,0.8189034461975098
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,18,21092348.0,0.6741079818028365,0.7094383239746094,0.4876803457736969,0.828020453453064
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,19,21411904.0,0.6766984426448093,0.7104813456535339,0.48192861676216125,0.8325221538543701
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,20,21381350.0,0.674868760832964,0.712486982345581,0.47781118750572205,0.8436253070831299
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,21,21162302.0,0.6669349453670775,0.7234710454940796,0.4784698486328125,0.802131175994873
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,22,21330192.0,0.6707937459565622,0.7292101383209229,0.47166210412979126,0.8541562557220459
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,23,21423292.0,0.671098115569145,0.7290599346160889,0.4680691361427307,0.8301064968109131
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,24,21224580.0,0.6617324920356698,0.7493650913238525,0.4716241955757141,0.7850689888000488
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,25,21521230.0,0.6684296837874689,0.7481433153152466,0.4664897322654724,0.7750452756881714
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,26,21596282.0,0.6664269379606467,0.7602853178977966,0.4664914906024933,0.7868016958236694
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,27,21487724.0,0.6670412509841375,0.7589701414108276,0.4694920480251312,0.7651762962341309
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,28,21426430.0,0.6645828435237506,0.7748596668243408,0.47208327054977417,0.6960265636444092
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,29,1742367.375,0.5333985731229159,1.1615583896636963,0.34476256370544434,0.7034004926681519
phi-3-mini,microsoft/Phi-3-mini-4k-instruct,30,1751683.125,0.49601888412515444,1.1587191820144653,0.33713045716285706,0.7108281850814819
