model,label,early_lo,early_hi,delta_lambda2_mean,frag_entropy_active,frag_entropy_passive,n_chars_active,n_chars_passive,n_pieces_active,n_pieces_passive,pieces_per_char_active,pieces_per_char_passive,pieces_diff,pieces_per_char_avg,frag_entropy_avg,_ppc_z,_fragH_z
Qwen/Qwen2.5-7B,AR,2,5,-0.021400012075901,0.1867718922855385,0.1834371970274623,28,34,8,10,0.2857142755102044,0.2941176384083048,2,0.2899159569592546,0.1851045446565004,-0.20982093455005926,-0.284234336462155
Qwen/Qwen2.5-7B,DE,2,5,-0.0035493498047192,0.2179904793443064,0.207075554148,37,43,11,12,0.2972972892622354,0.279069760951866,1,0.2881835251070507,0.2125330167461532,-0.22945328476867904,0.23824938257377734
Qwen/Qwen2.5-7B,EN,2,5,-0.0298373804738124,0.2986265782036758,0.2599301927089795,35,43,6,8,0.1714285665306124,0.186046507301244,2,0.1787375369159282,0.2792783854563276,-1.4697225441093078,1.5096788795624987
Qwen/Qwen2.5-7B,ES,2,5,-0.0131372610727946,0.2441360641474688,0.2179904793443064,31,45,9,11,0.290322571279917,0.2444444390123458,2,0.2673835051461314,0.2310632717458876,-0.46516430330459824,0.5912313684204393
Qwen/Qwen2.5-7B,HE,2,5,-0.0115987583994865,0.2496954424943939,0.2382693433166061,24,30,7,8,0.2916666545138894,0.266666657777778,1,0.2791666561458337,0.2439823929055,-0.33163469473110685,0.8373271206040434
Qwen/Qwen2.5-7B,HI,2,5,-0.0433416316906611,0.1732867951393613,0.1867718922855385,20,25,8,8,0.399999980000001,0.3199999872000005,0,0.3599999836000007,0.1800293437124498,0.5843887505188509,-0.3809116087299954
Qwen/Qwen2.5-7B,ID,2,5,0.0445039620002111,0.1974485099736396,0.1891008715131602,36,41,12,13,0.3333333240740743,0.3170731629982155,1,0.3252032435361449,0.1932746907433999,0.19006340575516356,-0.12860159474044305
Qwen/Qwen2.5-7B,IT,2,5,0.0050451159477233,0.2302585092984045,0.2179904793443064,38,47,10,11,0.2631578878116345,0.2340425482118606,1,0.2486002180117475,0.2241244943213554,-0.6780212020103136,0.45905491241945773
Qwen/Qwen2.5-7B,JA,2,5,0.0045617471138636,0.2121713894309376,-3.333629668606137e-13,11,12,3,3,0.2727272479338866,0.2499999791666684,0,0.2613636135502775,0.1060856947153021,-0.5333832176229782,-1.7894608199597317
Qwen/Qwen2.5-7B,KO,2,5,-0.0173462281624476,0.2599301927092295,0.2601184015060678,13,17,4,6,0.3076922840236705,0.3529411557093437,2,0.3303167198665071,0.2600242971076486,0.24801059601525063,1.1429086251282663
Qwen/Qwen2.5-7B,PT,2,5,-0.0153532574574152,0.2599301927089795,0.2441360641474688,30,41,8,9,0.266666657777778,0.2195121897679953,1,0.2430894237728866,0.2520331284282241,-0.7404708979925463,0.9906852159124004
Qwen/Qwen2.5-7B,TR,2,5,-0.0300688693920771,0.1974485099736396,0.1814311645577129,29,40,12,14,0.4137930891795486,0.3499999912500002,2,0.3818965402147743,0.1894398372656762,0.8325259961462632,-0.2016515444587438
Qwen/Qwen2.5-7B,VI,2,5,0.0268737251559893,0.1426752769658657,0.1319295690780527,29,34,17,19,0.5862068763376939,0.558823512975779,2,0.5725151946567364,0.1373024230219592,2.9926641726903735,-1.1948147803084976
Qwen/Qwen2.5-7B,ZH,2,5,-0.0218117410937944,-5.000444502909205e-13,0.2121713894309376,8,9,2,3,0.2499999687500039,0.3333332962963004,1,0.2916666325231521,0.1060856947152187,-0.18998184203632348,-1.7894608199613207
microsoft/Phi-3-mini-4k-instruct,AR,2,5,0.0042440841595331,0.053554331742525,0.0703889830127134,28,34,15,17,0.5357142665816333,0.4999999852941181,2,0.5178571259378757,0.0619716573776192,1.0274413185253926,-1.83764296852312
microsoft/Phi-3-mini-4k-instruct,DE,2,5,0.0045566310485203,0.2302585092984045,0.2179904793443064,37,43,10,11,0.2702702629656686,0.2558139475392105,1,0.2630421052524395,0.2241244943213554,-0.9483076148335229,0.7211942636529624
microsoft/Phi-3-mini-4k-instruct,EN,2,5,-0.4460690269867579,0.277987164149759,0.2441360641474688,35,43,7,9,0.1999999942857144,0.2093023207138995,2,0.2046511574998069,0.2610616141486139,-1.4010511478864536,1.3040769269771546
microsoft/Phi-3-mini-4k-instruct,ES,2,5,-0.0127859661976496,0.2599301927089795,0.2302585092984045,31,45,8,10,0.2580645078043707,0.2222222172839507,2,0.2401433625441607,0.2450943510036919,-1.1258566712409652,1.0521070681620655
microsoft/Phi-3-mini-4k-instruct,HI,2,5,0.001183196902275,0.0897945724853779,0.093910732899723,20,25,10,12,0.4999999750000012,0.4799999808000007,2,0.4899999779000009,0.0918526526925504,0.8114464749945761,-1.3661087987394895
microsoft/Phi-3-mini-4k-instruct,ID,2,5,-0.0009674876928329,0.1743753718009033,0.1732867951389863,36,41,15,16,0.4166666550925929,0.3902438929208807,1,0.4034552740067367,0.1738310834699448,0.1404083001451264,-0.07245606430504802
microsoft/Phi-3-mini-4k-instruct,IT,2,5,-0.0084087724486986,0.2302585092984045,0.2179904793443064,38,47,10,11,0.2631578878116345,0.2340425482118606,1,0.2486002180117475,0.2241244943213554,-1.0602850925926184,0.7211942636529624
microsoft/Phi-3-mini-4k-instruct,JA,2,5,0.0016190260648727,0.0750935348107174,0.1445938714130769,11,12,6,6,0.5454544958677732,0.4999999583333368,0,0.522727227100555,0.1098437031118971,1.0652024251965408,-1.0822027596798391
microsoft/Phi-3-mini-4k-instruct,KO,2,5,-0.015443926056226,0.1434632104358681,0.1349877393272356,13,17,7,9,0.5384614970414233,0.5294117335640156,2,0.5339366153027194,0.1392254748815518,1.1521162057282321,-0.6185465389898515
microsoft/Phi-3-mini-4k-instruct,PT,2,5,0.0034878949324289,0.2599301927089795,0.2441360641474688,30,41,8,9,0.266666657777778,0.2195121897679953,1,0.2430894237728866,0.2520331284282241,-1.1030139152895773,1.161603777281232
microsoft/Phi-3-mini-4k-instruct,TR,2,5,-0.0041363189617792,0.1814311645577129,0.1743753718009033,29,40,14,15,0.4827586040428067,0.3749999906250003,1,0.4288792973339035,0.1779032681793081,0.3375375228856952,-0.008195345547272017
microsoft/Phi-3-mini-4k-instruct,ZH,2,5,-0.0021151800950368,0.2599301927092295,0.1000804847072375,8,9,4,5,0.4999999375000079,0.5555554938271674,1,0.5277777156635877,0.1800053387082335,1.104362194367572,0.024976176058240852
meta-llama/Llama-3.2-1B,AR,2,5,-0.0055193901062011,0.1867718922855385,0.1834371970274623,28,34,8,10,0.2857142755102044,0.2941176384083048,2,0.2899159569592546,0.1851045446565004,0.022057610882704495,-0.783881238742702
meta-llama/Llama-3.2-1B,DE,2,5,-0.0237334221601485,0.2179904793443064,0.207075554148,37,43,11,12,0.2972972892622354,0.279069760951866,1,0.2881835251070507,0.2125330167461532,0.0032751985099575514,-0.2439846823175918
meta-llama/Llama-3.2-1B,EN,2,5,0.0042320638895034,0.2986265782036758,0.2599301927089795,35,43,6,8,0.1714285665306124,0.186046507301244,2,0.1787375369159282,0.2792783854563276,-1.1832994307508509,1.0698178002327068
meta-llama/Llama-3.2-1B,ES,2,5,0.0066214650869369,0.2441360641474688,0.2179904793443064,31,45,9,11,0.290322571279917,0.2444444390123458,2,0.2673835051461314,0.2310632717458876,-0.22223124884054624,0.12076114936181336
meta-llama/Llama-3.2-1B,HE,2,5,-0.0082058111826578,0.2986265782036758,0.2382693433166061,24,30,6,8,0.2499999895833337,0.266666657777778,2,0.2583333236805558,0.2684479607601409,-0.3203501099769244,0.8566338875823724
meta-llama/Llama-3.2-1B,HI,2,5,-0.0175426602363586,0.1732867951393613,0.1867718922855385,20,25,8,8,0.399999980000001,0.3199999872000005,0,0.3599999836000007,0.1800293437124498,0.7818837982357579,-0.8837804786238784
meta-llama/Llama-3.2-1B,ID,2,5,0.0068433135747909,0.1974485099736396,0.1891008715131602,36,41,12,13,0.3333333240740743,0.3170731629982155,1,0.3252032435361449,0.1932746907433999,0.4046298703105725,-0.6230617179400408
meta-llama/Llama-3.2-1B,IT,2,5,-0.0070624500513076,0.2302585092984045,0.2179904793443064,38,47,10,11,0.2631578878116345,0.2340425482118606,1,0.2486002180117475,0.2241244943213554,-0.4258729933772247,-0.01582035707647125
meta-llama/Llama-3.2-1B,JA,2,5,-0.0047624856233597,0.3465735902789726,0.3465735902789726,11,12,2,2,0.1818181652892577,0.1666666527777789,0,0.1742424090335183,0.3465735902789726,-1.2320340147105315,2.3944431468036753
meta-llama/Llama-3.2-1B,KO,2,5,0.0085851202408472,0.2599301927092295,0.2601184015060678,13,17,4,6,0.3076922840236705,0.3529411557093437,2,0.3303167198665071,0.2600242971076486,0.4600683690734322,0.6908241777451409
meta-llama/Llama-3.2-1B,PT,2,5,-0.0021082311868667,0.2599301927089795,0.2441360641474688,30,41,8,9,0.266666657777778,0.2195121897679953,1,0.2430894237728866,0.2520331284282241,-0.4856190721415753,0.5335276124194674
meta-llama/Llama-3.2-1B,TR,2,5,-0.017875259121259,0.2065335011533238,0.1891008715131602,29,40,11,13,0.3793103317479195,0.3249999918750002,2,0.3521551618114599,0.197817186333242,0.6968330196809535,-0.5336481436616115
meta-llama/Llama-3.2-1B,VI,2,5,0.0038470278183619,0.1516259457466755,0.1391827772724676,29,34,16,18,0.5517241189060649,0.5294117491349486,2,0.5405679340205067,0.1454043615095715,2.7395375447800747,-1.5653317001615465
meta-llama/Llama-3.2-1B,ZH,2,5,0.0091026077667872,-1.000088900581841e-12,0.3465735902789726,8,9,1,2,0.1249999843750019,0.2222221975308669,1,0.1736110909529344,0.1732867951389862,-1.2388785416757988,-1.0164994556213358
